[0.0] 对面雪天队,这样上啊,雪天队
[739.09] 双点来杯粗茶
[746.33] 克命爪加伸头刺
[749.41] 那我不走
[749.93] 吃的没办法
[763.29] 刷吧
[766.41] 这边切大扭拉
[772.27] 保善因素里边二种主要和这个谁配合
[774.71] 和这个茶配合
[775.99] 我茶有文有果
[776.67] 不用担心
[778.11] 我伤这么高吗
[780.71] 刷一下回个血
[782.79] 效果不好
[783.31] 我知道效果不好
[785.59] 回一点他伸头刺打不死的话
[787.67] 哎其中要害了
[788.87] 就说我还有文有果
[789.95] 别忘了
[792.86] 你看
[793.54] 他打不死我还有文有果
[796.89] 好打不打得死
[798.37] 打不死你看都没有
[799.29] 是不是啊这差很远的
[800.45] 不是打不死差很远的
[802.41] 刨球也没输
[803.09] 直接进了把个锤了
[803.81] 你今天糟了
[807.89] 然后这边再切桥楼
[808.93] 都拿一口
[810.41] 白白
[811.93] 死了
[812.65] 刨小虎
[813.89] 这个位置刨球和钢兵
[815.05] 来一个死一个
[815.77] 这锤了
[831.62] 雨天内战不上雨天
[835.61] 桥楼就没机会打电光树
[841.3] 大扭拉松下没问题
[842.54] 我只要锤死这个右边就结束了
[845.78] 啊
[846.74] 进站直接锤也不要命的
[849.98] 接不了刨小虎
[853.22] 注意钢兵可能是抗斗果
[856.22] 刨小虎文有果你也不用吃了
[857.66] 反正一拳锤死
[860.14] 做一只钢兵
[861.7] 他也知道啊
[862.34] 灵群砸大扭拉
[863.58] 然后呢这边进站锤钢兵就完事了
[865.94] 这次灵群砸的死了
[890.32] 这边啥子
[891.0] 水剑归
[899.42] 啊这个喷水借我雨天喷水啊
[904.39] 你的想法还挺好
[908.58] 嗯
[910.1] 拍一个喷水
[914.18] 拍一个喷水
[916.5] 那我快速折返
[919.9] 加电光树啊
[923.65] 喷不动喬龙
[925.73] 地龙化是一龙
[926.77] 这几个龙还可以接受啊
[930.17] 这样
[931.85] 老四样嘞
[933.05] 走起
[936.0] 右旋鱼喬龙或者直接大轴
[938.24] 大轴右旋鱼干了
[940.16] 大轴右旋鱼的话
[941.2] 你打不死化是一龙
[942.2] 人家气死必带的怎么都打不死
[959.05] 看他怎么上啊
[974.01] 反正右旋鱼是最快的
[975.21] 哎忘了吉他图了
[986.66] ok
[988.18] 水剑归河地龙
[1004.16] 后面还有这几只啊
[1015.73] 我想这把地龙冲了
[1017.77] 你说好不好
[1019.37] 切大轴又把它冲了
[1038.25] 好水剑归来了啊
[1044.11] 嗯
[1046.15] 小心水剑鱼饿子不动啊
[1049.65] 剁脚啊没问题
[1052.65] 这个可以接受啊
[1054.77] 你还要这点疼啊
[1057.29] 围巾啊围巾的
[1069.69] 那这个要干啥
[1071.53] 糟了
[1076.74] 围巾的一个地龙
[1082.74] 破壳哇哈你敢破壳啊
[1085.58] 这水剑归牛啊
[1087.54] 他破壳要喷穿我啊
[1089.22] 兄弟你真是厉害了啊
[1091.7] 哎呀这个水剑归啊
[1092.82] 他不破壳他不叫水剑归啊
[1094.38] 这么着死吗
[1098.02] 再直接破壳啊
[1100.06] 来破壳正给你喷穿的
[1102.3] 啊死吧
[1103.66] 剪了双防活不了啊
[1105.46] 直接秒杀
[1107.38] 白给
[1111.1] 不挡到还叫水剑归吗
[1113.5] 那地龙是围巾锁剁脚啊
[1115.14] 比我们右尾悬崖还快
[1116.34] 我们只要开个顺风就ok了
[1117.78] 他剁不到的啊
[1118.46] 这顺风一定开
[1120.66] 你还有谁啊
[1121.98] 还有个茶啊
[1122.7] 这都不要紧了
[1123.38] 是不是不要紧了
[1125.14] 他这锁剁脚不锁地震
[1126.82] 那这不重要啊不重要
[1129.38] 我们开顺风
[1132.22] 他说闹我开空间
[1134.58] 那有没有可能我先不开顺风呢
[1136.58] 我先来个暴风
[1138.74] 这边保护一下
[1142.52] 不着急啊
[1144.72] 对不对你剁脚你只能剁右边的
[1146.76] 你没得选啊
[1149.83] 剁脚没关系
[1151.11] 给送他把暴风
[1151.99] 我就胆小性格的暴风力度不算高
[1154.79] 暴风
[1159.27] 那胆小的你就差点意思
[1160.67] 就这个意思
[1161.67] 有时候真的要内敛的
[1162.71] 他吃个文有物
[1163.35] 你胆小他就内敛
[1164.51] 他就死了说实话
[1166.47] 这边刷一下
[1175.88] 吸一些回去
[1176.76] 哎难受
[1178.88] 他这个剁脚应该剁不死了吧
[1183.1] 顺风
[1184.86] 后面是这个保晒机随便杀
[1188.14] 这边的英雄就砸了
[1189.46] 把他砸了
[1192.81] 无妨加一看多不多的死啊
[1205.34] 大拙腰带现在已经破掉了
[1210.24] 击多脚
[1212.99] 哎都不死你看到没有都不死啊
[1216.07] 十九粒
[1219.49] 顺风
[1220.81] 然后这英雄砸死来背出啥
[1222.49] 不要让他
[1225.76] 开空间是不可能开空间的
[1227.32] 现在我有顺风你活不了的
[1231.96] 是吧
[1244.12] 后面谁后面原来是先步啊
[1246.44] 先步的话等会一个扫木加啥就结束了啊
[1249.52] 你要剁脚接着剁就行了
[1251.72] 扫木加冰炫
[1254.12] 给你来个强球
[1256.8] 给你来个流行群
[1258.28] 你随便刷杀我吧我所谓的
[1260.68] 我有顺风
[1261.68] 有着绝对的优势啊
[1262.72] 这两只被你杀了就行了
[1265.85] 杀得不错啊打一半的
[1268.45] 对面接着剁
[1270.61] 围巾地龙
[1279.56] 刚有猴子死了
[1283.03] 所以刚才不能来不出来开空间了
[1284.67] 开空间的话
[1286.59] 呃开空间的地龙就尴尬是不是
[1288.91] 随便打来
[1289.79] 冰炫炫地龙
[1291.67] 然后扫木扫先步
[1301.36] 扫木右边
[1304.7] 大力士冰炫左边
[1306.06] 八倍弱冰
[1307.06] 地龙
[1309.22] 我有顺风
[1310.3] 我没顺风
[1310.9] 好像你也打不死我吧
[1336.32] 冰炫
[1337.32] 水裂破你说各部也够了
[1339.12] 这是雨天大力士水裂破
[1378.83] 三次队
[1379.51] 啊轮琴猫啊
[1381.39] 马格谁马格班格拉斯啊
[1382.67] 这里看得出来是马格班格拉斯
[1386.61] 还有个威嚇手轮琴猫
[1388.89] 有点意思
[1390.29] 钢凯鸭凯琪
[1392.41] 哦马格亏甲鸟啊
[1393.61] 不好意思
[1394.77] 马格亏甲鸟
[1395.89] 哎这个还是比较少见的呀
[1398.09] 那这一个电工树不跟你哄死了吗
[1399.53] 兄弟
[1405.56] 还轮琴猫
[1407.24] 那你这些打不够乔龙吧
[1423.15] 我恨大牛了
[1423.91] 两个钢鸟
[1426.11] 哎呀有没有必要他带两个钢鸟
[1434.84] 你说这又是何必呢
[1436.76] 两个钢鸟
[1437.6] 乔龙是肯定要要的
[1438.84] 乔龙电工树一发一个
[1452.92] 宝帅兮
[1463.27] 凯琪特训是引火啊
[1464.91] 打这个火系可以
[1466.35] 我又没有火系
[1468.03] 他这边一个都不抗水
[1469.47] 对水系的贯穿性其实
[1471.59] 相当好啊
[1472.15] 水系贯穿性
[1473.31] 这个的贯穿了
[1474.07] 没有一个抗水的
[1476.23] 但他有个叔叔掩护嘛
[1478.15] 马格亏甲鸟应该是
[1479.99] 你别忘了
[1480.59] 亏甲鸟是可以马格的
[1484.23] 轮琴猫和一家属
[1485.59] 这是合议啊
[1488.7] 这是合议啊
[1492.91] 快速折返
[1493.71] 如果我反出这个宝帅性
[1495.39] 也要挨一发
[1499.48] 嗯
[1504.04] 砸
[1504.76] 砸完以后我就卡场了
[1510.98] 后面这两只
[1527.57] 后面是班格拉斯和亏甲鸟
[1529.65] 应该是这两只马格
[1531.69] 好直接冲来
[1534.86] 哇这轮琴猫有这么硬吗
[1537.58] 我眼花了吗
[1539.34] 我适应力冲动啊
[1548.32] 怎么可能砸这么点呢
[1550.88] 怎么可能打这么点
[1551.96] 这就打死了
[1552.84] 金鸟汉了吗
[1553.48] 金鸟汉里面来
[1555.48] 他这个是堆了大量物防
[1556.88] 这特防并不高啊
[1558.84] 轮琴猫双方都不高
[1560.8] 这是堆了物防的
[1562.16] 我是适应力的
[1563.32] 我没记错吧
[1573.68] 刚才要开顺风啊
[1579.94] 哪里走
[1580.9] 哎现在你说这些还有什么用
[1583.34] 这个都已经给你压的没血了啊
[1587.64] 电光树来指能
[1592.54] 这边牵牵个雨天
[1593.66] 然后等我再切一尾玄鱼来
[1597.82] 哎
[1601.53] 维护一下加上队友手部
[1603.45] 再冲这么点啊
[1605.25] 一尾玄鱼走吧走吧走吧
[1607.65] 但是他这个是物防型的
[1609.53] 物防型
[1610.09] 你不怕威嚇到钢笔吗
[1615.55] 好叔叔就干这种事情
[1616.71] 叔叔他就干这种事情了
[1617.87] 你不用管他
[1618.71] 当他这个愤怒尾鸭
[1619.63] 他会咬我也是难受
[1620.75] 我先电光树来一发
[1621.79] 来两发才能把特工加过来啊
[1623.23] 这可以啊
[1634.51] 嘿伤害还可以啊
[1640.26] 铁壁啊铁壁扑机经典
[1646.6] 原来是铁壁扑机的
[1650.84] 杀了叔叔威
[1658.93] 钢炮打这边
[1660.73] 简易钢炮
[1661.53] 你能钢炮出个什么玩意儿来了
[1666.42] 能压他血线吧
[1668.22] 这边切一尾玄鱼别着急
[1670.74] 宝晒心呢
[1671.46] 哎这宝晒心没啥事干
[1679.5] 他直接看我妈
[1682.1] 先不切沙包啊
[1685.02] 钢炮来一发
[1690.26] 突击抗斗果
[1692.42] 然后物防加二
[1693.54] 现在加一啊
[1695.86] 那就还在啊还在
[1698.62] 快速折返加电光树接着轰
[1700.42] 不要慌
[1702.86] 跑不了刚开
[1703.54] 刚开他也没保护
[1713.81] 快速折返
[1717.26] 刚开他打不到一尾玄鱼的啊
[1721.18] 你现在切斑格拉斯也来不及了
[1723.82] 因为我是反出来的
[1725.42] 你斑格拉斯换上来的话
[1726.62] 你照样开雨天
[1732.85] 好他看我妈那叔叔就死了
[1737.25] 嘿
[1739.81] 好再补个电光树就死了啊
[1741.41] 哎呦电光树应该死了
[1743.17] 这么点血应该死了
[1744.33] 那当然先不切大嘴
[1745.45] 哦先不切大嘴切谁切宝晒心呢
[1747.77] 我们宝晒心那可不是给你开玩笑的
[1751.09] 他扑机的话也扑不动宝晒心
[1755.4] 好电光树收了这个叔叔啊
[1757.0] 现在是不加不减电光树
[1758.32] 一百三威力
[1766.08] 但是他有马格斑格拉斯的注意下
[1767.84] 他没带亏选两只马格斑格拉斯
[1769.36] 那叔叔这里死了
[1771.84] 所以斑格拉斯照样
[1772.72] 他可以开那个
[1774.92] 呃开这个沙暴啊
[1776.32] 那扑机继续扑
[1778.68] 好终于给扑死了啊
[1780.4] 加2扑机
[1781.16] 我虽然物防也加2
[1785.79] 桥龙沙暴的确实不好打
[1788.03] 但他这里有那个啥
[1790.23] 好右旋鱼接着上
[1793.57] 你扑不到右旋鱼啊
[1794.97] 你扑宝晒心也没伤害呀
[1796.25] 你怎么办
[1797.97] 斑格拉斯你今天跑不了啊
[1799.33] 水雷坡是不是死了
[1802.42] 哼原来没有斑格拉斯
[1804.38] 我等你半天了
[1805.34] 你说没有
[1808.46] 那你亏家鸟二二接试的是吧
[1812.66] 亏家鸟
[1814.9] 冲还是扫
[1815.7] 哪个威力高啥说一下
[1817.26] 扫木威力现在是死两
[1818.58] 死一个人死一个人没有冲动高
[1820.14] 你今天死的
[1824.14] 水雷坡
[1824.62] 宝晒你物防加二是吧
[1826.22] 你接一个试试
[1827.94] 双钢鸟
[1828.7] 哇牛啊
[1830.3] 双钢鸟都来了啊
[1832.7] 还是很少见的双钢鸟
[1838.76] 来了我们先码个啊
[1840.16] 钢鸟的速度是110种族
[1841.56] 我们是120啊
[1842.64] 亏家鸟必杀亏家鸟
[1845.73] 物防加二你今天也活不了
[1847.05] 这雨天极限输出啊
[1848.17] 他居然没戴沙包
[1849.05] 直接冲啊
[1849.49] 不跟你废话
[1850.69] 我冲
[1852.01] 伤害这么点吗
[1853.85] 哇
[1855.93] 雨天极限冲动啊
[1857.81] 我大力士雨天水雷坡
[1859.21] 你真能顶一包
[1860.21] 钢鸟呀
[1860.65] 钢鸟百分之一顶住了
[1863.81] 哎呦
[1865.05] 钢鸟呀
[1865.61] 百分之一给我顶住了
[1869.17] 雨气下
[1869.93] 哎呦
[1870.69] 我难受啊
[1873.77] 百分之一啊
[1874.61] 百分之一啊
[1878.66] 那现在不是我的死气来了吗
[1894.4] 我还能说啥
[1899.75] 因为钢鸟他亏家鸟没保过
[1901.35] 一定把他杀了
[1902.07] 我这是雨天下极限的输出
[1903.55] 结果还是差了百分之一
[1905.91] 百分之一呀
[1913.34] 他攻啊
[1913.86] 他攻谁就是谁力度怎么样
[1917.1] 哇去力度这么高
[1918.86] 我力度这么高吗
[1921.1] 可以啊
[1921.62] 这亏家鸟他反上一下
[1922.58] 我打死他啊
[1925.51] 杀他没问题
[1926.31] 亏家鸟他双方已经没有了
[1927.67] 你看这耐酒就不行了
[1928.87] 亏家鸟离下就秒了
[1930.19] 堂堂亏家鸟
[1930.99] 没想到这么脆皮你说
[1932.63] 这边扑击不行
[1933.47] 只能用渺猛猛攻
[1935.07] 啊
[1935.27] 继于雨气没问题
[1936.31] 你打得过我这个谁吗
[1938.31] 呃打得过
[1940.27] 雨停了正好
[1941.15] 哈哈哈
[1941.99] 雨停的好啊
[1943.19] 停的好
[1944.27] 我再开一轮
[1945.63] 这样的话
[1946.39] 我相信你刚才也不行吧
[1948.15] 是不是也不行
[1948.71] 他有顺风也没用啊
[1952.55] 血量百分之百
[1953.39] 雨天还有顺风两回合
[1955.11] 这回和
[1956.71] 保护下火不保护
[1960.67] 我们两个保护一下
[1963.94] 反正他只能用渺猛猛攻啊
[1965.18] 你扑击扑谁啊
[1966.18] 我俩全是抗扑击的
[1967.34] 不好意思
[1969.38] 像一位玄鱼大嘴欧
[1971.54] 保摔型
[1972.18] 要么抗扑击要么免疫扑击啊
[1973.9] 所以刚才的威胁就不大
[1976.22] 你只有打沙包队
[1977.26] 搬给了折腾地图这些
[1978.46] 全部都不抗扑击啊
[1980.1] 你一扑一个
[1980.98] 我这里一颗不能一扑一个啊
[1983.18] 你一扑一个也扑不了啊
[1986.92] 亏家鸟他刚开速了
[1987.88] 他不马干啊
[1988.56] 因为特性是结识嘛
[1990.6] 结识可以卡两下
[1992.2] 他也有语系啊
[1994.48] 他现在是先语系
[1996.4] 你没有机会的
[1997.44] 气象球
[1999.92] 水流裂破
[2001.24] 硬打硬打
[2004.21] 你物理端防御高
[2005.53] 打不动
[2006.05] 特殊端怎么办
[2008.9] 我先水裂破
[2011.34] 伤害可以啊
[2013.86] 他语系一下
[2014.9] 那下火我们都先动
[2016.26] 他就死了
[2018.7] 他把雨天要脱过去
[2021.97] 但是这个脱不过去
[2023.93] 你还是伤害爆炸
[2024.81] 直接一下
[2025.61] 向脚就轻松过半
[2028.7] 你又没有保护
[2029.5] 他的技能是
[2030.58] 泳鸟猛弓铁壁铺鸡
[2033.1] 语系是不是四个技能
[2034.66] 他是不可能有保护的
[2036.22] 要么你带顺风也是一样的
[2038.06] 就是说你是没有格子去带保护的
[2040.98] 之前我带保护是不是没带语系
[2042.94] 没带语系
[2043.46] 带个语系就好了
[2044.38] 带个语系的话
[2045.22] 你就没办法保护了呀
[2046.82] 看你自己啊
[2048.06] 是不是
[2048.82] 你要带个语系就好了
[2049.98] 你带个语系我怎么保护啊
[2051.62] 铁壁铺�
[2052.74] 泳鸟猛弓要带吧
[2054.22] 泳鸟猛弓你不带你怎么打
[2055.38] 来备出啥这些鬼系的
[2057.82] 最后技能要么保护
[2058.9] 要么是语系
[2059.62] 我靠剩饭吃就不要语系了
[2062.18] 他靠剩饭吃他也带语系
[2063.82] 这格子实在是不够用
[2068.08] 给人鬼留啊
[2068.96] 给我演
[2069.48] 玩的是我也没恶戏
[2070.52] 我没恶戏糟了
[2074.95] 我这里是没有恶戏的
[2076.75] 有点难受
[2079.72] 这样的话
[2080.24] 他就可以通过地神码家
[2081.48] 再来一次来击杀我
[2109.73] 乔龙有没有
[2110.29] 乔龙很有用
[2110.89] 乔龙很有用
[2112.45] 不让保护帅心
[2114.69] 这里鬼系得上
[2116.93] 就谁给他的威胁最大
[2119.13] 就打谁
[2120.09] 跟鬼哥我演就再来刺钉真法
[2149.47] 你要有钢兵
[2150.27] 你钢兵当然就不说了
[2151.35] 你看他就上这两条
[2152.31] 然后他保护一下
[2153.79] 准备那个啥
[2155.55] 准备定你技能
[2159.14] 那没有关系啊
[2161.86] 准备定我们技能
[2166.81] 我冲完之后马上跑
[2168.49] 好不好
[2199.98] 先打冰炫
[2201.66] 他的跟鬼不知道快不快
[2204.26] 看上去不快啊
[2206.38] 一把
[2206.74] 当然他110速的种族
[2208.1] 我这是115
[2210.9] 其实我比他快很正常
[2214.82] 等会就看有没有他快了
[2216.06] 没他快就麻烦了
[2219.07] 没他快的话我死定了
[2225.8] 好两个都保护一下
[2226.88] 他肯定是这样
[2234.27] 然后下回定我们的技能
[2235.59] 尤其是一位悬远
[2236.47] 但一位悬远还是可以跑的
[2237.99] 不用担心
[2241.02] 就是你得比他快才行
[2242.54] 然后就杀这个锦鬼
[2245.74] 切大嘴
[2246.38] 因为这里我们可以跑
[2253.86] 没他快的话
[2254.54] 我这里就死在按球手上了
[2265.23] 这有钢兵的话
[2265.99] 他就搞不了你了
[2266.95] 因为我这边一个恶戏都没有
[2269.27] 你有个恶戏
[2269.83] 跑去我钢兵啥的
[2270.75] 他就一点办法都没有了
[2273.99] 因为这恶作剧之心是搞不到恶戏的
[2276.75] 所以就不用担心
[2278.71] 不过这里我没有恶戏
[2279.91] 那么很担心他再来刺和定身法
[2285.42] 定身法你看来了
[2286.98] 这边
[2290.18] 唱歌
[2290.62] 不好意思不用唱
[2293.7] 唱歌
[2295.9] 他是比我们快快过120线
[2297.54] 那他的耐久是非常脆皮的
[2299.14] 这一秒
[2300.22] 大历世家雨天这一秒了
[2301.34] 不用唱了
[2301.82] 下一把
[2307.66] 就是这样
[2312.99] 再点了
[2313.43] 你看他直接只要耿鬼一死
[2315.23] 就点的点的快
[2315.99] 我点的也快
[2317.27] 我点的也快
[2318.71] 那就是这样的
[2321.55] 我以为他没有我快
[2322.63] 因为我加速度一般加过120的地龙就可以了
[2325.15] 不需要加过其他人
[2326.43] 多对点耐久
[2327.23] 多对耐久的话
[2327.99] 他可以吃下这个
[2329.31] 围巾右旋右冲动
[2330.59] 你适应的冲动240
[2331.63] 为力
[2332.35] 耿鬼的话
[2333.03] 他爽爽性格
[2333.71] 耿鬼的话是可以吃的
[2335.19] 如果你加极限度很多物防
[2338.19] 特工不加加SV物防
[2339.91] 速度拉过102的地龙就可以了
[2342.07] 速度少量
[2343.55] 剩下全队物防
[2344.51] 你说耐久高不好
[2345.39] 耐久就高
[2346.11] 只是输出就不要输出了
[2347.71] 反正你暗球无人家
[2348.55] 但也没什么好打的
[2354.13] 这边是雨天
[2355.13] 罗卡利欧
[2357.65] 在罗卡利欧的话
[2362.55] 还得是乔龙
[2364.19] 他这边有圣剑
[2365.19] 还不知道按啥的
[2367.11] 或者罗卡利欧近战
[2373.49] 乔龙VS乔龙
[2376.98] 那必须上乔龙
[2377.9] 我抗斗过
[2378.46] 我什么都不怕
[2381.37] 后来宝帅心
[2382.05] 有宝帅心
[2382.77] 那是马杆核心
[2383.73] 怎么可能没有
[2384.97] 至于这上谁呢
[2386.33] 他也有查
[2386.89] 我有查
[2387.45] 我有大牛了
[2388.09] 他有大牛了
[2388.81] 他有大牛了
[2390.85] 我就说我不带大肘
[2391.81] 他倒是他也不带大肘
[2392.97] 给我整尴尬了
[2393.97] 你也不带大肘
[2394.85] 烦得很浓
[2396.25] 我相信总有人会带大肘的
[2397.73] 那个人是谁
[2398.33] 那个人不是我吧
[2400.77] 那个人是你还是我
[2413.07] 是谁
[2424.14] 我不带
[2426.65] 我就不信你不带
[2434.14] 雨天内战白嫖对手的雨天
[2438.05] 你看雨天
[2438.61] 我直接电光输了
[2439.41] 我还谢谢你
[2448.1] 卢卡雷和鬼剑双格斗技能
[2451.34] 有格斗技能
[2452.78] 会玩啊
[2457.24] 这个卢卡雷是马格卢卡雷吗
[2458.76] 哦他只能是马格卢卡雷
[2460.28] 因为他的队伍里只有马格卢卡雷
[2462.76] 所以他一定是马格卢卡雷
[2465.6] 那马格卢卡雷的话他能干啥
[2467.92] 他能打个破烂
[2470.12] 我认为我可以把你冲穿了
