[0.04] 大家好
[248.84] 这里的话你不开墙
[250.28] 这个零射加上对面点个大德利啊
[253.48] 现在不能点血月了
[254.36] 对面刚才点了血
[255.12] 不能点血
[255.74] 就说你还是开墙吧
[257.539] 太极一般打个高音
[260.15] 打高音呢高音你可以破那个什么雪月
[262.31] 打不死吧
[262.79] 对面背心的他硬打啊
[264.95] 注意对面有真空波啊
[266.23] 如果打不死的话
[266.87] 可以真空波收你嘞
[271.36] 他一般直接输出长毛巨魔还是要开墙啊
[275.72] 开墙
[280.2] 长毛巨魔开的是逛强啊
[282.08] 减少对面好英雄的伤害
[285.92] 那血月来对面麻痹了
[287.4] 我方就最快哇
[289.44] 一个血月
[292.82] 哎呦啧
[295.41] 打不死啊
[296.13] 应该是因为对面是背心的
[297.79] 打得死吗
[298.41] 你觉得一百五三百威力300乘以呃
[300.91] 力度确实高
[301.59] 但是他击中要害了
[302.71] 应该我觉得背心应该打不死啊
[304.19] 林社来击中要害了啊
[306.41] 你我的意思是不击中要害
[308.09] 应该打不死啊
[308.89] 对面是背心的呀
[309.99] 是不是背心的
[313.06] 四下击中四次背心的肯定打不死啊
[316.94] 好多熊猫血200多啊
[318.1] 或者说你说100多啊
[319.28] 至少180多啊
[325.31] 可惜啊
[329.08] 血月威力是150
[330.72] 那他一般就三百三百乘以生命宝珠1.3倍
[333.52] 390的威力
[334.64] 直接就是直接打出个390威力
[336.92] 非常夸张啊
[338.3] 血打完之后
[339.42] 副作用是不能再使用
[340.5] 那这算什么副作用啊
[341.54] 这根本就不算副作用啊
[342.62] 你要硬直才算副作用啊
[344.06] 我们说副作用就是降能力或者硬直
[346.36] 这个血液根本就没有副作用
[347.98] 几乎那快龙这边零射完走
[352.8] 换上鼠鼠
[354.14] 那后排是围攻鼠鼠啊
[356.04] 前排是那两个
[357.24] 那我方也走
[358.72] 怕弃权了
[362.07] 奥赛跑跑来挡气旋骗啊
[364.59] 一般和鬼的一个联防啊
[366.949] 猴哥保护一下
[368.469] 猴哥说我还是先怂一下啊
[370.589] 鼠鼠掩护这边电磁波二
[373.949] 好的
[374.389] 那这样的话呃电磁波只能给叔叔上啊
[380.81] 对面可以围攻
[381.81] 直接那个啥嘞
[383.11] 但也不好围攻
[384.29] 直接逃吧
[384.91] 这直接逃
[385.77] 对面还没有太近的
[387.29] 又要跟鼠鼠合贵
[388.51] 猜个拳了
[389.11] 你说点什么点戏法电磁波
[396.86] 要么点戏法可能好点
[398.42] 点戏法他就一辈子看我妈
[399.7] 她也不怂啊
[402.64] 鼠鼠应该点看我妈呀
[404.28] 他点看我妈
[405.16] 就是说你这个暗影球是打不到的呀
[407.32] 你锁暗影球的话
[408.81] 他是戏法暗影球淘金潮嘛
[410.81] 啊叔叔耿直看我嘛
[411.97] 这里不能耍小聪明呐
[413.33] 你这里耍不了小聪明
[416.61] 电磁波
[421.18] 看猴哥的猴哥猴哥我要打十个猴哥
[425.82] 健美健美啊
[426.46] 健美健美
[427.43] 钛金火的话好越凶
[429.07] 一个大字力就死了
[430.35] 如果这个电磁波能上上去的话
[432.23] 一个一个那个啥就死了
[433.71] 桃金茶
[435.94] 现在猴哥一下一个开反射壁吧
[439.02] 还是要开反射壁哦
[441.239] 反正没开
[442.139] 走走走走走走
[443.279] 直接走
[443.759] 不说啥了
[444.579] 叔叔肯定保护一下这个鼠鼠
[446.159] 这个猥琐玩意
[446.879] 他肯定就保护拖一下呀
[448.279] 是不是拖队友守护啊
[451.56] 再给他上电磁波好
[454.52] 他鼠鼠没动
[455.34] 鼠鼠要围攻吗
[456.46] 你后手围攻也是围攻啊
[459.59] 愤怒来一拳
[462.76] 打的是长毛巨龙
[464.36] 没有伤害
[464.88] 后手为攻啊
[465.6] 这里是因为你鼠鼠麻痹了呀
[467.64] 你比比那个谁慢呐
[469.58] 哎对面可是做肉汉
[471.02] 你这点啥呀
[473.18] 他想围攻奋斗住权
[474.54] 你看到没有
[475.24] 你后手围攻怎么能围攻呢
[478.74] 你肯定得看我妈呀
[480.94] 因为你经围攻不了了呀
[482.06] 你已经或者保护下
[483.66] 我说啊
[484.38] 对不对
[485.02] 他还后手为攻啊
[486.51] 那这里就没有了呀
[487.83] 我方四个人得给那个猴哥上个电磁波啊
[491.169] 快龙根本就打不到长毛巨魔啊
[493.589] 因为快龙你零射
[495.169] 你射啥也射
[496.39] 我给合伙点了电磁波
[497.71] 大地利就死了呀
[499.07] 这里随便卖一个队友就行了
[500.95] 我只要点了电磁波
[501.83] 你就无解啊
[503.82] 好电磁波只要上去OK了
[505.5] 等会大得利
[506.14] 你必死
[506.8] 你见美1万次也没用啊
[508.44] 我大得力特工技能
[509.66] 什么叫大得利啊
[512.82] 好细菌来一口好吧
[514.34] 你健美了
[514.96] 力度还挺高
[515.96] 还是要开个反射壁啊
[517.38] 这个长毛巨魔
[519.63] 等我开个反射壁啊
[520.95] 他刚才开的光枪没有开反射壁
[522.71] 快
[522.83] 能开顺风哦
[523.59] 还有顺风对
[525.7] 也是啊
[526.54] 快龙你看他又开个顺风反射壁开啊
[528.98] 最后的反射壁
[529.66] 大哥反射闭啊
[532.52] 真不开反射壁
[535] 对面俩麻痹了
[536.14] 顺风就相当于速度抵消
[537.6] 就这个意思
[538.62] 全场最快谁啊
[539.76] 是火神虫啊
[540.74] 长毛巨魔
[541.6] 你是真不开反射壁啊
[544.3] 他说我先把快龙宰了
[549.3] 好灵魂冲击
[552.46] 他多从里面破掉
[553.42] 是不是破掉
[557.48] 然后猴哥马还不动
[558.68] 这局应该是稳了
[559.68] 不管怎么说
[560.28] 因为对面已经没办法了
[562.04] 这边就零射啊
[563.759] 伤害也不过如此啊
[565.199] 两下击中要害
[569.4] 三项开过了吗
[570.6] 刚才开的不是光枪吗
[571.92] 又开了反射壁啊
[575.41] 我看他那个那个点完没有啊
[577.71] 电磁波给对面全家都麻痹了一遍
[579.61] 除了不能麻痹的好英雄以外
[581.41] 我看他pp就知道了
[583] 刚才第一回是开的逛墙
[584.54] 然后反正被消耗了一个pp就开过了嘛
[588.67] 哦开过了开过了
[590.15] 消耗了一个
[590.63] 那他就灵魂终于打快龙嘛
[592.98] 这边也没啥好打的
[594.06] 直接等会好英雄
[595.06] 只要上来大陆地就结束了
[596.26] 游戏就结束了
[599.88] 对吧
[600.7] 因为太金火猴哥他必死啊
[612.02] 等顺风停
[614.86] 这边愤怒粉来杀了我
[615.94] 猴哥杀了我吧
[620.74] 灵魂冲击
[621.46] 我不可能打猴哥啊
[622.5] 猴哥人家是不服输啊
[624.14] 这哪敢打呀
[627.02] 胡说戏玄来一口火系不会被烧伤啊
[630.44] 所以就不怕这个火焰身躯
[632.16] 他先吸一个回来
[633.34] 那不管你吸多少啊
[634.68] 大自力生命保护
[635.48] 大自利
[635.8] 你必死
[637.5] 顺丰还有两回合
[638.54] 注意顺风
[639.06] 等会停呢
[639.58] 我方还有四个人头
[640.46] 我感觉怎么都行啊是吧
[642.1] 你继续分斗坟就行了
[643.06] 没技能点
[643.6] 其实是那快龙
[645.24] 刚才保护过了
[645.88] 这里也不能再保护你
[646.8] 怎么办
[648.16] 死呗怎么办
[652.4] 长毛巨魔
[653.24] 这个哎呀快龙首先打不到他
[656.559] 他只有零社保护灵社顺风黑雾嘛
[658.759] 单走一个零射就打不到妖精系
[660.559] 高贵的妖精系懂不懂
[668.92] 对面俩都麻痹了
[670.42] 反正好英雄一上来就清场了
[673.44] 好继续奋斗
[674.08] 奋来杀了我吧
[674.96] 快点
[679.44] 好继续连射
[680.4] 那射死了火神虫
[681.52] 啊啊两下
[685.819] 三下
[688.55] 四下文月果的一个火生虫
[690.81] 主要打辅助的虫子抵抗呃
[693.73] 这个顺风啥的
[698.34] 降防御啊
[699.1] 灵魂冲击必死
[700.14] 是不是啊
[700.96] 降防御
[701.5] 灵魂冲击必死
[704.25] 刚才是多重鳞片嘛
[705.61] 这里百分之百死啊
[706.89] 然后就大智力说了嘛
[708.33] 把猴哥收了就结束了
[714] 啊猴哥麻痹不能动
[715.36] 那这个更加那啥
[717.62] 对面的我方的撞墙结束了
[720.14] 对面的顺风结束了
[721.62] 那顺风结束了
[722.62] 好运上来
[723.22] 直接准备走起了
[724.46] 大德立
[727.42] 你上谁都行啊
[729.02] 上这个赛博孩的话有力量宝石
[733.32] 猴哥物理端你很难打动他
[735] 他看一下攻击防御加一
[738.13] 再开个没事干的
[739.57] 现在灵魂冲击都无所谓了
[742.22] 反正麻痹以后也没有出手权
[743.9] 道德里对面应该上来就围攻鼠鼠算了
[746.7] 是不是围攻直接围攻
[748.06] 开干
[750.5] 好直接投了
[751.42] 就不说到这里了啊
[752.66] 这把的话没有任何悬念
[754.14] 保罗出尔一比零
[759.48] 来看双方第二场还是一样的
[761.6] 哎我方不一样了啊
[764.76] 那这个可以热风开逛墙
[777.78] 掀开逛墙
[778.8] 好英雄的力度非常高
[780.08] 背心好英雄虽然是
[781.79] 但他这个血月的力度确实高
[784.19] 快龙的话还是零射
[785.39] 火神虫火虫魂一火就可以多抗两发啊
[798.34] 团猫巨魔开逛强
[803.14] 热风伤害不错
[805.46] 破下多重鳞片
[807.66] 这边零射啊
[810.68] 开光墙
[811.5] 这个伤害高啊
[814.3] 三下
[816.63] 四下过半刚好吃文艺谷
[825.76] 击中四次
[830.82] 还是提速度啊
[832.42] 这边雪月先干好月熊
[834.44] 但是因为有逛墙哇
[837.26] 差一点点哎呀
[839.06] 还能活能活
[839.98] 顺风这边电磁波不开反射壁吗
[842.97] 真不开反射壁
[844.97] 反射壁对面后面有猴哥的话
[846.37] 还是要反射壁啊
[847.819] 他上电磁波不开反射
[849.539] 比这个基础上很伤啊
[851.739] 因为开了光前
[852.419] 按理说血也打不了多少血对吧
[854.87] 你下回不能当雪了呀
[856.03] 你下回整点当地力量呀
[857.51] 这下凿好电磁波来一下
[862.22] 不开反射壁了呀
[864.34] 这下真没开反射壁啊
[865.7] 刚才第一回开光墙
[866.74] 然后第二回上电磁波魂中开顺风
[874.12] 零色继续来
[875.04] 那双杀了呀
[875.88] 是不是双杀了
[876.9] 你不开反射壁
[878] 这里的话零射加高音就给你双杀了
[883.07] 四下啊五下
[888.86] 再补个高音
[889.82] 双杀完了和上一把就完全是两码事
[893.47] 上一把是把对面双杀了
[894.71] 对面只剩下围攻鼠鼠啥的嘛
[897.16] 啊上把他快容走了
[898.84] 那这里被双杀了
[899.96] 后面就不好打了
[900.72] 高音吼一发双杀是不是啊
[906.4] 我方有顺丰有出手权啊
[909.48] 后面也是快龙啊
[910.74] 啊也是快龙
[912] 没带这个赛富豪了
[924.18] 唉顺丰刚开过了呀
[925.9] 你火神虫不是开过顺丰了吗
[929.13] 他已经邀近你一世
[931.339] 这边保护一下对面快龙离射不到啊
[934.839] 我方妖精
[935.619] 其他零射不到
[936.379] 他只能临色好叶雄好英雄保护一下就行了
[944.5] 他已经妖精灵世
[952.3] 对面也太精
[956.82] 对面也太金妖精
[959.77] 因为双方都单走一个邻舍
[962.03] 那对克里托夫汉来说
[964.49] 我杀了郝月熊
[966.21] 我就赢了
[966.95] 是不是啊
[968.5] 我杀了郝月熊
[969.58] 你妖精快龙打不到我快龙啊
[973.2] 041下
[976.84] 两下
[979.24] 啊三下击中要害
[983.23] 四架击中四次
[990.16] 提速度
[992.44] 对面顺风哎呦
[993.76] 对面顺风
[996.12] 这把二对四啊
[998.52] 雪月
[1001.36] 好兄还是怕被集火呀
[1003.1] 那大家都有顺风还是快人快啊
[1007.36] 林射加血月
[1008.52] 不说啥了
[1009.36] 再见
[1010.2] 能不能双杀
[1011.56] 我看你双杀了也不好打
[1013.12] 后面的围攻叔叔吧
[1019.44] 好临死前打个真空波
[1020.8] 压个血线
[1021.78] 真空波效果拔群
[1023.08] 威力还可以啊
[1023.76] 零射哦
[1026.34] 没有击中对面快龙
[1028.14] 对面零射完了再来个真空波
[1031.7] 是不是死了两下三下
[1037.22] 四下没有了没有了
[1040.17] 为什么没有了
[1041.01] 后面猴回来
[1041.89] 你零售我一个愤怒之拳就死了呀
[1043.61] 对不对
[1043.97] 你零售的话
[1045.01] 你只能零售啊
[1047.189] 要么还是选赛富豪吧
[1048.749] 赛富豪直接搞这个这个淘金潮了
[1051.109] 或者戏法啥的
[1052.049] 直接打死没问题
[1055.48] 本来双杀双杀以后
[1056.96] 对面后排是围攻鼠鼠啊
[1058.48] 你想一想怎么打
[1062.62] 你快龙只能去射那个谁嘛
[1068.86] 后面是鼠鼠猴哥
[1070.42] 对不对
[1087.44] 猴哥闪光猴哥
[1092.06] 那你只能镭射这个呃
[1094.1] 左边了啊
[1094.86] 他的好英雄是不能保护啊
[1096.38] 对面是背心嘛
[1097.22] 我们是生命宝珠啊
[1099] 那只能继续怂
[1101.24] 也没得选不怂
[1102.28] 真空波打你啊
[1105.52] 你快龙林色降
[1106.52] 防猴哥随便杀你
[1108.55] 你只你又不敢吝啬这个猴哥啊
[1110.83] 但是你又不能不吝啬猴哥
[1112.61] 等会你死了
[1113.49] 你不就只能镭射猴哥了吗
[1115.33] 人家就有猴哥
[1116.37] 你怎么办
[1118.65] 争个摸继续来
[1121.1] 你敢离射猴哥吗
[1122.4] 不敢
[1125.58] 好射死他没关系
[1128.92] 两下
[1131.56] 三下啊
[1134.32] 四下那在上数数就得嘞
[1140.32] 可是这边汉的选出没有变
[1141.92] 就这么四只啊
[1143.36] 我方还是长毛巨魔开墙
[1145.72] 但是他刚才首发变了啊
[1150.62] 这边分见没见没啊
[1152.02] 先不着急
[1152.84] 然后细旋打打
[1154.18] 你好月熊
[1154.7] 你也跑不了
[1155.26] 今天这下真跑不了了
[1159.27] 对面的顺丰停止了啊
[1162.66] 是我方的顺丰停止了
[1164.18] 刚才是U2的顺丰停止了
[1168.62] 那你只能临射数数
[1170.4] 对面的顺丰还在在双联保
[1173.02] 双连保都来了
[1179.82] 鼠鼠保护一下
[1182.1] 因为你只敢吝啬鼠鼠啊
[1183.66] 你不能吝啬猴哥
[1185.98] 还有双电宝
[1187.1] 双联宝失败
[1187.94] 一个戏全拜拜结束啊
[1192.6] 第二把也是没有悬念
[1193.84] 不过这个形式不一样啊
[1196.66] 对面现在是领先的是吧
[1199.3] 因为我方一开始两位就被双杀了
[1201.36] 双杀以后他只有快龙和这个好月熊
[1204.49] 好月熊肯定是要上这个输出手啊
[1206.54] 靠开墙好英雄来输出
[1208.06] 好英雄就是这个常会输出最高的之一啊
[1210.86] 有没有比他更高的
[1212.2] 他还真就是高啊
[1213.42] 特攻135种族啊
[1215.23] 投了啊
[1217.43] 一人投一把
[1225.78] 滴滴来看看双方第三场哇
[1228.42] 雨不我方没变呐
[1231.43] 科斯夫汉这边也变阵了呀
[1233.49] 赛富豪和郝贝熊
[1240.88] 小便阵
[1247.78] 他觉得我方会上回到第一把吗
[1250.47] 啊结果呢保罗说话还是沿用第二把
[1253.15] 那对面这里不太有优势啊
[1255.31] 赛宝还能挡电磁波
[1257.01] 但是火神虫这里比较克你啊
[1260.52] 开挂墙
[1261.2] 那这里的话长矛巨魔开挂墙
[1262.68] 或者说奎斯夫汉这边想直接把长矛巨魔给宰了
[1265.14] 直接逃死他
[1266.08] 夜长梦多啊
[1267.29] 开光墙百分之百电磁波
[1269.97] 你点不了啊
[1270.49] 对面俩都不吃啊
[1273.07] 热服你还不太金是吧
[1275.01] 哎呦不带金伤害爆炸呀
[1277.75] 击中好英雄要害
[1279.48] 淘金潮直接杀了你
[1281.44] 长毛巨魔
[1282.12] 长毛巨魔还是可以啊
[1284.06] 开了光墙能顶啊
[1285.48] 他这边看上去加了很多特防
[1287.16] 为啥第一把我看那个血月击中要害
[1289.18] 是不是都没有打死啊
[1291.83] 雪月
[1294.43] 把你们又给我打出来
[1297.78] 好吃了没有
[1298.62] 我先把长毛巨魔宰了
[1301.65] 确实要把他宰了
[1302.79] 长毛巨魔这里没事干
[1304.09] 开个反射壁
[1305.23] 我方开顺风开反射壁啊
[1306.75] 最后的反射壁
[1307.59] 你真不喜欢开反射壁啊
[1311.1] 对面后排肯定是物攻手啊
[1314.26] 可能是鼠鼠和猴哥赛富豪走
[1321.12] 上鼠鼠
[1325.62] 这边也走双换啊
[1330.75] 直接上鼠鼠猴哥
[1336.14] 顺丰
[1341.44] 早早早早早早早伤害
[1344.88] 当时伤害还是不错啊
[1346.28] 那不服输
[1347.32] 发动
[1351.44] 伤害倒是不错
[1352.52] 效果拔群嘛
[1353.32] 但是送对面攻击力加二
[1362.12] 猴哥儿戏拳走起啊
[1363.76] 叔叔保护一下
[1369.36] 啊俩都保护
[1370.52] 先看下情况
[1371.12] 拖一下你的顺风啊
[1372.18] 顺便拖一下你的顺风
[1373.36] 这次的话对面没顺风啊
[1374.74] 因为他没上快龙电磁波
[1376.59] 那苏苏就得看我妈了
[1378.07] 这里不能耍小聪明了
[1379.19] 先把长毛巨魔给吸死
[1381.78] 电磁波要来电磁波和热风嘛
[1385.8] 那只能看我妈了
[1386.96] 猴哥最好还是不要吃到电磁波玩
[1389.92] 先把这个谁吸了
[1394.8] 电磁war
[1399.24] 猴哥缺血啊
[1400.36] 现在是
[1405.2] 何为攻击1+2
[1406.76] 好火神龙走
[1413.18] 换上赛夫号
[1416.17] 合格钛金还是钛金
[1418.29] 火受到伤害少
[1419.33] 点了火也抗火嘛
[1422.25] 也看那个赛博好
[1427.78] 保罗错
[1428.38] 好像点的都很快啊
[1429.42] 大家点技能没什么好犹豫的
[1431.34] 好叔叔
[1432.22] 这里不能耍小聪明
[1433.42] 只能看我妈刚才也保护过了嘛
[1434.9] 不能吃到电磁波
[1437.1] 但是我电磁波当然还是要上
[1439.78] 给叔叔上
[1440.26] 我无所谓啊
[1441.06] 不要让猴哥吃到电磁波就行
[1442.58] 猴哥给给一拳
[1443.58] 那
[1446.7] 愤怒之拳啊
[1449.65] 打的这魂虫的位置啊
[1450.81] 一拳哎呦
[1451.57] 赛跑死了
[1452.57] 因为刚才送了两段攻击啊
[1455.11] 攻击力翻倍了
[1459.86] 而且加上灵魂冲击嘛
[1461.62] V六一百翻倍200威力啊
[1463.66] 200乘本系300威力600克制
[1467.62] 猴哥他就不需要健美了
[1468.9] 你都送他两段攻击
[1469.9] 我还健什么美啊
[1470.62] 一拳一个呀
[1475.3] 先不管长毛巨魔
[1476.5] 长毛巨魔也干不了什么事啊
[1479.95] 细权再来一个都能杀这个郝月熊啊
[1483.43] 麻烦了
[1485.51] 数数看我妈
[1486.63] 然后这样叔叔给个麻痹啊
[1489.97] 叔叔麻痹
[1490.91] 然后我放电磁波上去大大力
[1492.39] 这样可以好
[1493.31] 这边先保护一下
[1494.57] 你肯定要弃权
[1495.85] 我都血包了
[1498.489] 猴哥保护一下啊
[1500.489] 要封个门牙呀
[1504.3] 啧都保护一下
[1505.82] 原来是都保护一下哈哈再拖个顺风啊
[1510.18] 我反射壁开
[1511.36] 现在开反射壁啊
[1515.04] 我方的顺丰停止了
[1516.32] 对面拖过顺风啊
[1517.24] 拖过顺风
[1518.06] 他一般高音吼来也只能这样了
[1521.76] 或者你大胆一点
[1523] 赌那个啥堵他
[1523.84] 鼠鼠麻痹是吧
[1525.46] 鼠鼠麻痹不能动
[1526.78] 然后我直接把他点死
[1529.89] 只要叔叔看我妈的话
[1531.13] 我就没办法
[1533.6] 你高一你吼不死
[1535.04] 这个猴哥
[1535.86] 猴哥不照样照样这个弃权
[1537.96] 你血包啊
[1538.92] 是不是血包一口就吸满了
[1541.68] 好叔叔并没有麻痹
[1543.1] 那并没有麻痹
[1543.86] 就没办法了
[1544.88] 叔叔看我妈
[1547.87] 然后电磁波呢人家已经麻痹了啊
[1549.73] 鼠鼠你只能赌一个鼠鼠
[1551.15] 麻痹好血包啊
[1553.52] 直接一口哎呀
[1554.68] 就吸这么点
[1555.82] 一方面好英雄的物防比较高啊
[1557.96] 他合格吸权
[1559.16] 但是也吸回来很多血
[1562.01] 高音加二弃权
[1565.36] 就这么点吗
[1566.5] 高音伤害很不错啊
[1569.63] 生命宝珠本系高音
[1570.99] 对面吃个文柚果
[1573.07] 但是猴哥比好英雄快啊
[1574.59] 你都是血包啊
[1575.43] 再吸一口
[1579.48] 只能等什么
[1580.76] 还是那句话
[1581.6] 等他的鼠鼠给个麻痹啊
[1583.16] 不麻痹真不行啊
[1597.72] 这边借火用也要愤怒粉啊
[1599.28] 或者说开个顺风啊
[1600.28] 顺风加高音
[1601.16] 这样
[1605.34] 好猴哥保护很合理合理啊
[1607.36] 叔叔也保护吗
[1608.3] 又保护一下
[1613.78] 鼠鼠是不是又要保护一下啊
[1617.41] 没有啊
[1617.73] 她看我妈送了送礼物
[1619.77] 后面他还有四只啊
[1620.85] 可惜苏芬汉还有四只
[1623.03] 那这里只能顺风高音了
[1625.13] 没办法嘞是吧
[1627.52] 顺风高音
[1628.48] 或者你说愤怒粉钢也行
[1630.5] 愤怒粉高音也可以啊
[1635.26] 高音吼啊
[1636.3] 叔叔在你没办法
[1637.62] 这边顺风
[1638.34] 高音好
[1640.18] 叔叔看我妈
[1641.26] 你只能吼高音了
[1645.28] 火神中使用顺风顺风下
[1647.66] 我方速度翻倍就先动了啊
[1649.74] 这是我最后的高音
[1651.14] 但是刚才看哦
[1653.27] 打的血月
[1653.85] 不好意思啊
[1654.25] 打的血月那不行
[1657.37] 血那不行了
[1658.51] 我还说他最后的高音呢
[1659.91] 点了血
[1660.43] 那没了
[1662.45] 我杀了这个好一雄
[1664.13] 你不没输出了吗
[1669.52] 好愤怒拳
[1670.32] 先把这个谁杀了啊
[1671.48] 先把火龙杀了
[1673.8] 一拳一个
[1678.84] 长毛巨魔又没有输出
[1680.52] 然后火神虫也是个辅助
[1681.96] 这俩都是辅助的呀
[1682.96] 对不对
[1683.73] 输出的是眼镜赛
[1685.09] 富豪刚才死了
[1685.97] 还有生命宝珠
[1686.81] 好英雄
[1687.55] 那真空波接不接得了
[1688.93] 真空波接不了吧
[1689.65] 对面有真空波啊啊挣个波你也结束
[1693.6] 别忘了对面有真空波
[1694.76] 37血
[1695.36] 那就投了哇
[1696] 这么快
[1696.7] 保罗出啊
[1697.52] 你看打的行云流水啊
[1699.72] 这就是秒点
[1701.42] 你说这真空波
[1702.44] 我们还说光光强真空波接不接得了啊
[1704.64] 你不用接不接得了
[1705.56] 保罗出来说
[1706.08] 我知道我已经没了
[1707.16] 投了啊
[1708.64] 两秒钟打完
[1709.38] 打了三把克苏芬二比一啊
[1711.36] 连扳两场
[1712.22] 但是你看保罗说打的那就叫一个快啊
[1714.8] 什么叫快
[1715.57] 我给你说个啥
