[13.559] 爹娘
[805.78] 这样袁老板哪对女人还是比较温柔的
[809.56] 你陪我女老板睡衣
[810.88] 这画面感觉就不用你赔了
[817.22] 前朝古董啊
[819.8] 如果真是前朝古董
[822.44] 为何会印着民国11
[826.62] 你真真的老大
[831.839] 这不刚回城了
[834.18] 也不全是假
[840.76] 在这找什么呀
[841.99] 这都是我们要扔掉的废物
[852.46] 听说有人从联邦扔掉的垃圾堆里翻出了一栏簪
[856.38] 价值5万大洋了
[862.58] 林老板
[863.65] 方才你救了我
[865.45] 这是答谢礼
[866.92] 你开什么玩笑
[868.33] 这破毡子
[869.53] 你糊弄鬼糊弄我老大呢
[872.26] 谁说这是假的
[880.78] 郁南站
[884.18] 这玉兰真可是御寒打造的
[887.93] 放在当年也是尽量红金
[892.98] 袁老板
[894.05] 今日你学两年相伴此单
[897.26] 谢您愿袁老板能跑到哪个东西
[903.78] 这么大费周章想干什么呀
[910.04] 我的好嫂嫂可否借一步说话
[916.12] 李白走出去好
[923.78] 说吧嫂嫂嫂嫂向来看不上我这一介粗人
[927.04] 今日找我所为何事
[929.53] 还有半月是我丈夫与她小妾的大婚职
[935.24] 是否可以请云老板帮我把少帅请过来参加婚宴
[946.91] 果然你想做什么
[949.0] 他与妾大婚本就是在侮辱你这个妻子
[952.935] 整个半京城都在等着看你笑话
[956.96] 你却还想请少帅为他主动
[962.36] 放开我
[966.1] 你到底想做什么
[971.64] 你敢
[975.48] 狗狗的时候仍然君子
[977.72] 尤其是像带嫂子这样的
[979.4] 没有你这么爱不爱生
[982.44] 这点牺牲对你而言应该是微不足道的
[990.58] 爱过难受
[992.94] 我恨不得杀了他
[998.06] 在你丈夫和我姐的婚礼上
[1000.12] 被另一个男人玩弄刺激吧
[1007.859] 姐夫是她是她勾引我的
[1010.76] 没什么
[1012.26] 我没有
[1013.04] 我真的没有
[1014.12] 你相信我好不好心
[1020.22] 我把他关进小黑屋
[1022.26] 家法伺候
[1026.98] 嗯他司令分子要不上贞操的女人
[1033.22] 是要受家法的啊
[1046.82] 我请少帅来
[1048.46] 并非是给他撑场面
[1051.56] 如果有少帅才会引到更多的达官贵客才能回来
[1059.44] 我要把这场婚宴变成顾南晟给予我的好
[1071.72] 说说吧
[1073.66] 你打算怎么做
[1078.679] 你是道上做买卖的
[1082.059] 我想问你买一袋药材
[1085.179] 关羽粉
[1087.06] 她无色无味
[1088.52] 但会令男人
[1090.7] 你是心之
[1098.78] 袁老板
[1099.83] 你和顾南晟是表面兄弟
[1103.92] 敌人的敌人就是朋友啊
[1106.91] 到时候你把少帅请过来
[1109.76] 我会请他看一出好戏
[1116.18] 有点意思
[1118.08] 我答应
[1124.04] 这个就送给三个当时给嫂嫂赔罪的定情信
[1128.83] 你放心
[1130.21] 3日后宴会少帅会准时到访
[1140.28] 多谢袁老板
[1144.14] 等等
[1149.3] 嫂嫂平常在顾家都是一身素衣
[1152.98] 为的是便利伺候公婆
[1155.46] 今天这身算是真正的很漂亮
[1163.1] 听说少帅要来参加男生的婚宴
[1170.36] 我们要是讨好她
[1172.18] 说不定是男生的职位
[1175.48] 又要生在咱们半京
[1178.39] 还从来没有人见过少帅的真面目
[1181.24] 还是我们虞姝有本事啊
[1183.52] 身为男生的妻
[1186.0] 这是我应该做的
[1194.14] 祖母跟您商量一件事情
[1198.68] 玉娥从小跟他弟弟相依为命长大
[1201.62] 所以这次的婚宴
[1203.82] 她希望邀请她弟弟参加
[1212.46] 还有一件事情
[1213.8] 按照半斤的习俗来讲
[1215.69] 新出嫁的心腹需要有已出嫁的姐姐送嫁
[1219.66] 但是玉娥她没有简介
[1222.63] 所以这件事情不如就让虞姝代老吧
[1230.24] 南胜虞姝是你的妻
[1233.2] 你八抬大轿的
[1234.88] 娶二姨太本身就不妥
[1237.24] 现在还要虞姝去送件
[1240.51] 你让虞姝的脸往哪儿搁呀
[1243.98] 这是邹母
[1245.92] 如果玉娥出嫁的时候
[1247.9] 没有姐姐送嫁
[1249.42] 在玉娥的脸面
[1250.98] 又给我发疯了
[1252.93] 我愿意我愿意送妹妹出嫁
[1262.14] 如此就谢谢姐姐了
[1265.16] 放心妹妹也会念着姐姐的号
[1269.96] 婚服就用姐姐当年那套吧
[1273.34] 姐姐当年和司令结婚
[1276.5] 问能圆房
[1278.03] 妹妹就当我前几次心愿了
[1283.4] 皇后好
[1284.48] 这样不用去裁缝这心意了
[1292.58] 妹妹
[1295.84] 可真是贴心啊
[1300.74] 彼此彼此吧
[1306.04] 穿上你的婚服和你的丈夫拜堂
[1309.19] 你能奈我何虞姝
[1312.34] 你只配被我踩在脚下
[1315.08] 别得意啊
[1316.16] 幸运了
[1316.97] 好戏还没开场呢
[1320.0] 等我大婚那日
[1322.01] 等你大婚那日
[1324.165] 我会让你痛不欲生
[1328.08] 明日我会想办法把云叔绑到祠堂
[1332.7] 到时候你就在祠堂内羞辱她
[1336.3] 我要让半斤的贵客都看见他的丑相
[1341.72] 可他毕竟是司令夫人
[1343.93] 万一司令怪罪我放心
[1347.33] 对于司令而言
[1349.31] 它比地上的泥还要亲近
[1355.28] 等于说的贞洁被毁
[1357.9] 司令夫人的位置迟早是我的囊中之物
[1363.3] 恭喜恭喜
[1364.64] 好好请进
[1367.22] 方才进去
[1368.12] 看绸缎店的李老板
[1369.47] 李老板家财万贯
[1370.88] 居然也来参加司令的婚宴
[1372.74] 大家都是为了少帅而来的
[1374.44] 这司令一家还是要升官
[1376.69] 既然少帅出起不来
[1378.34] 走走再见啊
[1380.04] 今天可以好生招待少帅
[1382.11] 咱们以后顾家好
[1383.34] 日子在后头呢
[1384.48] 福建放心吧
[1392.98] 如何
[1393.92] 这可是姐姐当年和司令成婚时穿的喜服
[1397.46] 有没有让姐姐欢迎您
[1399.54] 当初
[1402.9] 是
[1405.529] 诶姐姐
[1407.26] 你当年的耳饰呢
[1408.76] 夫人当初用的耳饰
[1410.02] 可是夫人从娘家自己带的嫁妆
[1412.27] 桌子上那么多耳饰不够
[1413.98] 你用的吗
[1414.96] 那怎么可以
[1417.0] 我要的可是姐姐的全部
[1420.0] 姐姐若是不愿
[1422.01] 今日我便等着
[1423.81] 若是握了出嫁的时辰
[1426.26] 到时候司令怪的还是姐姐
[1429.26] 你
[1431.56] 我这就去给妹妹拿
[1433.44] 有劳姐姐了
[1441.82] 于叔等你出了这间房子
[1445.34] 你的人生就彻底被我毁掉
[1459.66] 乐嘉
[1476.72] 新娘跨火盆平安自足门
[1485.95] 今日不是娶妾吗
[1487.59] 妾走正门
[1488.73] 人家看中的是二太太
[1490.75] 也没看抬进祠堂的片
[1492.1] 女主都有三箱亲父向长辈敬茶妈
[1500.78] 祖母请喝茶
[1505.26] 母亲请喝茶
[1510.02] 心腹向正妻敬茶
[1513.5] 诶鱼叔他人呢
[1517.34] 嗯对啊
[1519.44] 竟然也整天没看到虞姝这么重要的日子
[1523.89] 他去哪儿了
[1528.2] 司令司令不好了
[1531.67] 咱们家进贼了
[1534.7] 说什么
[1535.68] 我方才路过
[1536.76] 祠堂里头里头有奇怪的动静
[1540.44] 我不敢声张
[1541.97] 你们你们快去瞧瞧吧
[1544.34] 坏了
[1545.18] 我在祠堂里一三下聘礼了
[1547.16] 不要被偷了
[1548.54] 哎哟赶紧去看看吧
[1552.02] 赶紧走
[1560.16] 司令夫人
[1561.41] 你身体真软
[1562.88] 我好看呀
[1564.32] 这里面听着不像是镜子
[1566.44] 倒像是男欢女爱
[1570.42] 司令夫人怕不是姐姐
[1577.44] 这是哪一出啊
[1578.91] 难不成是司令夫人称司令成亲时和相好
[1582.96] 所谓吧
[1584.16] 真是这样
[1585.36] 那以后司令的脸往哪放啊
[1588.92] 怎么说了
[1592.28] 找钥匙去
[1593.39] 是虞姝呢
[1597.84] 虞姝他人去哪儿了
[1599.52] 难不成真是这个小贱蹄子
[1604.3] 虞姝是不是
[1605.88] 你快起来
[1607.02] 虞姝你快来看这里
[1629.78] 你
[1634.46] 怎么在这里可
[1639.62] 以想想嫂子顾昀
[1643.49] 那这些嫂嫂要不行
[1645.85] 金玉娥派来绑架没了
[1648.46] 当然是被我提前处理掉了
[1650.515] 多谢云老板帮忙
[1652.79] 事后请你吃饭
[1655.6] 我很期待
[1660.62] 妹妹忘了你
[1662.98] 让我帮你去拿耳饰
[1669.22] 不可能这不可能
[1671.04] 你在这那里面的人里面里面有人吗
[1680.68] 司令我没找到钥匙
[1684.96] 钥匙在我这
[1698.98] 秦王好好侦探已经看清楚
[1704.26] 你的婚礼即将被你自己亲手
[1711.3] 好戏正式开场了
[1733.28] 师爷夫人
[1734.26] 我还给你
[1740.9] 秦芳在干什么
[1743.56] 卧槽哟
[1747.14] 你在干什么
[1750.56] 啊特林夫人
[1752.78] 原来你在这样
[1753.8] 我们一起快活呀
[1761.16] 你别女主啊
[1763.38] 你是不是应该给我一个合理的钱
[1773.94] 算了
[1775.19] 余叔却这么久
[1777.05] 怕是不想给我
[1781.34] 就那副吧
[1782.74] 别耽误了宋家的使命
[1791.66] 二姨太
[1792.55] 那我就先下去了
[1807.86] 呜呼你就是司令夫人
[1817.12] 啊啊司令夫人
[1822.22] 司令夫人
[1833.12] 祠堂可是供奉祖先的地方
[1835.4] 居然当着顾家的祖先一夫人
[1837.77] 这这人谁啊
[1839.24] 听闻这是二姨太的弟弟
[1841.22] 不
[1841.7] 我没有虞姝
[1843.32] 你
[1849.29] 你是需要拉传金城的人
[1851.42] 看我们不讲笑话
[1852.62] 是不是母亲息怒啊
[1855.53] 玉娥她毕竟有身孕了
[1857.75] 顾南晟
[1859.159] 你别护着这个小表情的好不好
[1863.599] 祖母我冤枉
[1865.099] 一定是姐姐姐姐她嫉妒了
[1867.78] 所以啊啊
[1871.54] 虞姝
[1872.52] 你居然敢打我
[1874.3] 你弟弟当着顾家列宗列祖侮辱我
[1878.17] 打你算轻的
[1881.48] 本山本山
[1882.82] 你帮帮我来人
[1885.22] 将秦国关进黑屋
[1888.46] 秦放侮辱顾家
[1891.4] 此道吃胭脂
[1895.38] 不要不要男生
[1897.6] 他是我唯一的弟弟
[1899.22] 三星
[1899.76] 你帮帮我住手
[1903.84] 我是司令
[1904.88] 没有我的命令
[1906.17] 我看你们谁敢动我
[1908.18] 顾南晟
[1909.23] 你要等着少帅过来
[1910.85] 看见咱们出丑吗
[1912.6] 司令夫人
[1913.68] 这是主持公道一文
[1915.54] 未免也太感情用事了
[1917.54] 是啊这不妥妥的
[1919.28] 宠妾灭妻吗
[1921.319] 梦梦见
[1922.61] 只要有男生护着我
[1925.01] 看你如何动我
[1926.66] 郭老太太姑老太太
[1928.88] 少帅的车子已经到了
[1930.895] 少帅的车已经到门口了
[1933.31] 什么完了真的完了
[1936.56] 如果不上来了
[1938.06] 瞧见这一幕
[1939.11] 咱们顾家的面子都丢完了
[1943.08] 赶紧把这两人拖下去
[1945.08] 别让少帅看见了少帅
[1947.3] 那
[1970.98] 听说傅少帅以前上战场时脸上有严重烧伤
[1975.11] 所以从不以真面目示人
[1977.18] 但他为何如此眼熟
[1986.02] 少帅顾司令
[1987.82] 今日不是你大喜的日子吗
[1990.16] 怎么有人比你先进洞房了
[1997.74] 少帅息怒是属下的疏忽
[2000.51] 让您看到了属下家里的丑事
[2004.74] 哎少帅
[2005.93] 不管我们男生的事
[2007.91] 都是这个贱
[2009.71] 带了个不清不楚的男人
[2011.81] 和我们顾家没有关系
[2013.73] 我少帅少帅
[2014.93] 你放心
[2015.77] 我们会马上把她赶出顾家奶奶
[2018.58] 你帮帮我
[2021.04] 顾司令啊
[2023.22] 这是你的家事
[2024.8] 我不承认
[2027.62] 刘提督向我推荐
[2029.88] 让你当总司令
[2033.6] 不过我看连自己大婚都能闹出笑话的人
[2039.56] 总司令还是算了
[2047.8] 顾太太
[2050.58] 感谢你邀请本少帅来喝喜酒
[2055.039] 不过今天我看这喜酒是喝不出来
[2059.86] 刚才
[2072.72] 少帅
[2078.979] 阿珍
[2079.989] 你听我解释
[2081.309] 不是我是玉输出上去我的
[2085.34] 你敢打我都是因为你害得我被少帅嫌
[2093.24] 我不是因为你影响了我的升官之路
[2097.85] 我告诉你
[2099.71] 从现在开始
[2100.99] 我不想再见到你来了
[2106.44] 为什么
[2110.01] 来人啊
[2111.08] 将秦玉娥关进黑屋
[2113.78] 是你
[2120.92] 引以为傲的宠爱
[2122.605] 就如水上薄冰
[2124.81] 轻轻一踩就是厉害
[2127.78] 才刚开始呢
[2129.67] 金玉楼精彩还在后头
[2139.2] 听到了吗
[2140.54] 你弟弟正在被阉割
[2143.03] 这就是姐见而不自知
[2146.26] 就是你让他下场
[2155.859] 你们当我弟弟要肉
[2159.179] 他不过是个用烂了就丢的棋子
[2162.199] 大多
[2190.68] 我可不是这个时代的人
[2193.16] 于是我跟我的
[2195.98] 我让你死无葬身之地
[2205.02] 晴儿
[2205.91] 你到底还要我来干什么
[2234.8] 难受你原谅了就好了
[2248.17] 你下次轻一点
[2251.14] 它肚子里已经有你的骨肉了
[2255.31] 哦对了
[2256.58] 你最近呢别招惹一说
[2260.24] 他们雨家家大业大
[2261.95] 咱们现在
[2265.66] 晚上如果我能帮你挣钱
[2269.22] 你是不是就不需要人家了
[2271.89] 哼哼啊
[2273.67] 你能帮我挣什么钱啊
[2279.52] 卖烤红
[2283.14] 口红在国外可流行了
[2285.62] 只是现在办精神的女人
[2287.84] 用的还是普通的胭脂水粉
[2290.42] 你可别小瞧女人
[2292.28] 为了讨好男人
[2293.81] 他们是很愿意为自己花钱的
[2298.4] 我和寇国怀疑商人伟的相熟
[2302.06] 我从他手里花了1万块钱
[2303.98] 买了一批货
[2305.27] 我有办法在7月内挣到10万
[2308.6] 如果我成功了
[2310.56] 你就去办一个集资
[2312.84] 会用大批量资金去进货
[2316.5] 等咱们赚了大钱
[2318.54] 你还会受制于人吗
[2322.74] 好那这样你先试试水
[2325.99] 只要你成功了
[2327.55] 怎么一切都好说
[2330.6] 虞书你赢一场又如何
[2334.61] 司令夫人的位置
[2336.98] 只能是我的夫人
[2340.06] 于府到了
[2377.12] 上辈子父母错心
[2378.88] 顾南晟被顾南晟谋财害命
[2383.02] 我
[2387.52] 瑜伽绝不能再成顾南晟荣华富贵的剑教师
[2400.28] 父亲母亲
[2404.02] 你不在家里好好待着
[2405.85] 回来干什么呀
[2409.3] 我可听说最近半京城口都在宣传
[2413.64] 顾南晟娶妾大婚的时候
[2417.0] 我可警告你啊
[2418.7] 你可别让一个小妾爬到你的头上
[2427.7] 爹顾南晟最近要做生意
[2431.02] 会向我们家要500万大洋
[2433.28] 我希望爹不要答应他
[2439.98] 为什么
[2442.58] 因为我想和顾南晟离婚
[2445.64] 什么什么
[2453.32] 你再说一遍
[2454.51] 爹
[2455.59] 我想和顾南晟离婚
[2459.04] 老爷你打他做什么
[2460.66] 你个不中用的东西
[2462.16] 你说你说的什么虎的话
[2464.05] 他会跟你爹道歉
[2465.49] 母亲我是真的想离婚
[2469.26] 我我打死你个不中用的东西
[2472.32] 老爷老爷再说一遍
[2475.48] 当年把你从孤儿院找回来后
[2477.85] 我尽量抹杀掉你在孤儿院的过去
[2480.64] 你聘请最好的老师
[2483.0] 把你培养成真正的富家
[2484.8] 千金难受是我最得意的门生
[2488.07] 是给你千挑万选最好的夫婿
[2490.98] 怎么你当上了全半精女人都羡慕的司令夫人后
[2496.32] 你反倒不乐意了
[2497.85] 我可警告你
[2499.15] 你要是敢离婚
[2501.9] 你就别认我这个爹
[2503.16] 滚滚滚滚
[2509.459] 叔叔娘也是女人
[2511.87] 这女人结婚过日子哪有不受委屈的呀
[2516.06] 可没有离婚的女人啊
[2518.28] 你这不是让人家看笑话出洋相吗
[2521.73] 再说了
[2523.05] 咱余家在办京
[2524.98] 那可是名门世家
[2527.05] 你不看别的
[2528.58] 你得顾及咱余家的颜面
[2530.2] 不是娘爹
[2532.58] 顾南晟真的不是什么好人
[2534.88] 他不过是想利用我们瑜伽而已
[2537.22] 等利用完他就会卸磨杀驴
[2540.67] 你个不重要的东西
[2544.1] 老爷你疯了
[2545.56] 来人快去拿医药箱
[2547.83] 老爷你疯了
[2549.33] 来人快去拿医药箱
[2551.6] 男生是我从小看着长大的孩子
[2553.94] 他是纸面的人
[2555.08] 我最了解爹
[2557.18] 我也是你女儿
[2558.32] 你就不相信我吗
[2559.94] 你承认你是我女儿傻
[2562.62] 那你就好好给我当你的司令夫人
[2565.1] 以后不准你再做出这种大逆不道的事情
[2570.28] 如果我继续留在顾南晟身边
[2573.42] 最后也会被顾南晟杀了
[2575.7] 男生他不会
[2577.22] 你给我记住你
[2578.9] 生是顾家的人
[2580.1] 死是顾家的鬼
[2581.6] 这辈子你别想离开顾南晟
[2585.8] 那你给我回去
[2586.76] 我不想看见你爹爹滚
[2609.1] 我没有爹娘
[2610.77] 我就没有人要的
[2618.08] 给你
[2619.3] 谁说你没有人要阿念
[2621.7] 我要你
[2622.54] 等你长大了
[2623.65] 我们结婚
[2624.88] 我做你的家人
[2626.26] 保护你
[2631.6] 从今天开始
[2633.27] 你的名字叫虞姝
[2635.61] 是半经百年世家俞家的孩子
[2640.28] 把这些玩物丧志的东西都丢掉了
[2644.32] 你要成为半径最优秀的民陵仙君
[2648.89] 时刻谨记以余家的荣辱为己任
[2654.3] 身体都好吧
[2656.48] 余师傅
[2657.53] 来来来
[2658.64] 我给你介绍一下
[2660.18] 她就是顾南晟
[2662.07] 以后她就是你的丈夫了
[2668.62] 阿祥是你
[2673.34] 阿香
[2674.47] 你在哪里呀
[2676.39] 我好想你
[2693.439] 袁老板
[2695.619] 你怎么过来了
[2698.859] 谁欺负你了
[2700.959] 不小心撞到了
[2715.26] 适当示弱才会有人怜爱怜爱
[2722.779] 我的丈夫一心只想杀死我
[2727.119] 我的父母比起我更在乎家族荣誉
[2730.559] 我的人生从进入瑜伽开始就已经被安排好了
[2736.66] 从小我要成为优秀的豪门千金
[2740.64] 长大后我要成为优雅金贵的豪门太太
[2745.71] 根本就没人在乎我的感受
[2748.879] 也无人怜爱
[2753.52] 我只想复仇和保护我的家人
[2758.64] 云老板顾南晟最近在半经做进口口红
[2763.64] 届时他会召开集资舞会
[2767.15] 集资1000万进口口红
[2769.92] 我的父亲对顾南晟十分信任
[2773.07] 他会出资
[2774.78] 我想请云老板帮我
[2777.48] 让我的父亲看清楚顾南晟的真面目
[2782.5] 跟她断交
[2783.86] 毁了几次毁
[2786.74] 只要你愿意帮我
[2793.34] 你要我做什么
[2798.4] 我都愿意做什么都嫂嫂
[2803.42] 可是在暗示我
[2804.86] 我可不是什么好人
[2807.86] 从不拒绝女人的投怀送抱
[2810.72] 你可想清楚
[2811.76] 我别无选择
[2823.44] 簪子以后就别摘了
[2827.12] 我答应嫂嫂做嫂嫂刺向敌人的剑
[2832.48] 等大功告成了
[2834.58] 再兑现承诺也不迟
[2839.14] 顾南晟
[2840.42] 这一次你休想再利用瑜伽
[2848.86] 半个月就赚了20万大洋
[2851.66] 我我不是在做梦吧
[2854.9] 这些都是真的
[2856.24] 只不过口红是玉娥提出的
[2860.9] 不过我没想到他在办机会这么受欢
[2863.9] 月娥还真有本事
[2866.51] 是啊
[2867.61] 妹妹好厉害
[2869.35] 虽出身青楼
[2871.09] 却什么都知道
[2872.59] 妹妹是不是你之前的哪位客人教你的呀
[2878.48] 我没有祖母
[2880.46] 你别听他说的行了
[2884.36] 难受
[2885.4] 接下来你打算怎么做
[2887.53] 祖母我准备召开一场集资会
[2891.46] 我跟虞姝的父亲已经商量过了
[2894.19] 他欣然决定愿意出资500万
[2897.25] 并且为我引荐半径最大世家皇家
[2901.77] 只要我能拿到皇家的投资
[2904.23] 我一定可以集资成功出口贸易
