[0.58] 对面这个队伍有沙暴
[496.3] 你有巨人他行不行
[497.34] 你有巨人
[497.82] 有时候还是可以
[499.22] 什么时候可以
[500.8] 如果他打的比较好的时候就可以啧呃
[508.72] 喷火可以
[509.56] 这个喷火可以喷了
[512.32] 但是他有个鬼剑啊
[517.28] 其他的都是乌合之众吧
[522.04] 大纽拉鬼剑
[523.62] 这里煤炭龟喷火
[525] 先上谁嗯
[529.66] 全是AOE啊
[530.54] 对面全是AOE
[531.86] 那我就吼他一波
[533.92] 这样你看就是说先山路的吼一波
[538.01] 后面跑起有击掌
[539.13] 然后加上那个三朵开空间
[540.97] 三朵开得了空间吗
[542.13] 还有个鬼剑
[542.93] 那要看他上不上鬼剑
[547.24] 先走一波吧
[549.21] 这个煤炭龟就喷的可以啊
[551.65] 什么雪妖女
[552.57] 我专喷雪妖女的
[564.48] oh小吕和仙布
[567.4] 小李和司令部啊
[568.52] 你的司令部你不觉得有点危险吗
[570.62] 给我玩双AOE啊
[572.16] 复制到周日去没有用
[576.8] 好
[580.28] 愤怒没压
[582.34] 你要开极光幕
[583.3] 我也拦不住你说实话
[584.56] 这个小吕的话
[585.62] 一个喷火就死了
[586.96] 关键把仙巴给宰了来了
[594.36] 他的AOE的话恐怕三朵不容易接下哟
[598.48] 他两个都是AOE啊
[599.56] 暴风雪还有高音
[603.7] 我们也吼起来
[608.84] 如果奇迹林的话
[610.08] 这里你要被动的被动的吃这个AOE
[613.44] 我有队友守花
[614.6] 他果然开极光幕没问题啊
[615.92] 那我们只能打两波再去呃
[618.53] 在那个啥也没办法
[622.8] 杀咚咚咚
[624.5] 伤害不错
[627.84] 然后又来一波
[628.96] 下回开封烟了啊
[631.41] 太高音
[632.17] 来一波伤害如何
[633.05] 伤害的话还是可以啊
[634.41] 有点高啊
[635.41] 那这样的话
[639.16] 先把空间开
[641.4] 这边看我妈啊
[645.3] 会不会被双杀呀
[648.28] 注意是我们先动啊
[649.56] 我们先猴子先布
[650.56] 所以他先不可能怂一下啥的
[652.28] 我要把鼠鼠卖了
[657.28] 鼠鼠不能卡场啊
[671.82] 是不是先不压他血线
[679.46] 谢谢谢谢谢谢谢谢
[681.96] 一切全部在
[686.36] 好没有麻痹
[687.52] 就没有没有冰
[688.6] 冰冻就好
[689.38] 就怕这个冰冻一下
[690.56] 一切都在我们的计算之中嘛
[694.25] 起飞吧
[694.99] 煤炭龟
[695.71] 我知道你有极光幕
[697.01] 那又怎么样
[698.93] 无语来了
[703.04] 啊先布这个血量肯定喷死了
[705.06] 然后高音
[705.8] 至于雪妖女狗屁
[706.92] 不是后面的人的话
[708.64] 给他吼高音就完事了
[710.31] 喷火木炭喷火怎么说
[715.6] 跑了换谁呢
[717.12] 换龙系啊
[718.94] 换美纳斯啊
[719.78] 美纳斯确实能顶他死
[721.14] 美纳斯就这样
[722.12] 电光一闪压个血线
[723.74] 哎呀这伤害确实不高啊
[730.92] 啊喷了美纳斯
[733.12] 20%的血量接近满血
[735.88] 喷我就喷这么点
[736.76] 一种厌差
[739.72] 感谢正义恶熊全力奔赠送的金钻粉
[742.08] 我说你有巨人粉丝杀害得我抢马嘎是好女孩吗
[745.06] 哎金融爱了好啊
[746.78] 好好好好好
[750.54] 你你有巨人
[752.66] 能给你个出场机会都不错了
[762.2] 鬼剑
[780.74] 我眼镜呢锁了喷火
[782.56] 哪来的眼镜
[783.68] 没有眼镜
[784.78] 看来装不了了啊
[791.14] 抢球
[795.34] 哇哦力度好高啊
[796.98] 毕竟是效果拔群啊
[799.86] 腰带的原来是啊
[801.04] 他有没有极光幕
[802.1] 这都接不了
[803.14] 杀了我
[805.54] 站姿切换
[808.23] 烧一下煤炭龟的位置
[809.71] 原来是烧了木炭一下
[814.5] 还有
[819.26] 哎
[835.52] 香球
[844.86] 好影子偷吸一下
[845.98] 没问题哇
[848.98] 这个难受啊
[850.62] 给我偷袭死了吗
[854.9] 左右制服的杀了他
[859.23] 19%的血量点的死啊
[860.91] 刚才喷火是20%的单体啊
[862.35] 这是那他有个血药率
[867] 嗯我最后就是那个极光幕消失了
[871.04] 来了
[871.6] 我这只你又该如何应对
[874.6] 大将咆哮虎
[883.72] 哦我刚刚腰带的啊
[884.92] 腰带的那这个一个隐偷袭
[887.04] 怎么能把沙朵偷袭死了
[888.36] 沙朵这么脆皮吗
[899.22] 戏法空间还有一回合
[905.62] 深渊突刺还深渊什么突刺啊
[908.06] 我直接把你干了呀
[909.38] 闪焰冲锋啊
[911.82] 热热热热热风
[915.88] 哪里跑
[918.88] 好他站姿切换没问题啊
[920.92] 你这个打得过咆哮虎吗
[926.4] 俩都保护下
[927.32] 没问题
[928.14] 杀谁
[928.8] 我问一下
[933.62] 先杀谁
[941.52] 我先杀那个
[944.76] 先杀小吕啊
[945.98] 先杀小小吕
[949.06] 大家说对不对
[950.34] 鬼剑的话他就一血嘛
[951.98] 你摸一下都死了
[960.5] 鬼剑一般影子偷袭林骚
[962.48] 还有铁头和王盾啊
[964.46] 暗球杀煤炭龟
[965.9] 没问题没问题
[968.37] 当然没有问题啊
[973.98] 好鬼剑鬼剑随便打嘞啊
[977.36] 有近战
[982.02] 哎呀
[986.02] 没带铁头啊
[993.46] 那我死了
[997.52] 简易近战
[998.44] 我这反伤我必死啊
[1025.14] 鬼剑没有格子带广防啊
[1026.94] 他格子物攻的格子紧张
[1028.62] 必带影子偷袭腰带
[1031.34] 鬼剑都来了
[1035.02] 又一个这个那这个的话我们要直接开空间了啊
[1040.14] 要直接开
[1041.94] 开了以后再去打吧
[1043.24] 也只能如此了
[1044.28] 事都到如今了
[1050.38] 那你说怎么打呢
[1055.3] 来咯
[1056.82] 这是纯空间模式
[1058.84] 就指这四只啊
[1060.24] 咆哮虎
[1060.82] 奇奇林
[1061.78] 还有煤炭龟和泥偶巨人
[1068.56] 纯空间模式
[1070] 大家看一下
[1096.98] 上这两个
[1100.12] 啊这个没有关系啊
[1101.28] 你随便打打不死770的
[1109.04] 洗把空间开
[1111.48] 击掌拍
[1124.96] 地龙未缩
[1126.26] 这边直接冲也不要命啊
[1128.2] 那肯定是冲不死的
[1129.44] 被威吓了
[1130.24] 怎么可能冲得死
[1132.9] 你还不要命是吧
[1134.65] 你还不要命
[1135.93] 我还不要命
[1136.93] 你还不要命呃
[1138.65] 他这个地龙是比幽尾玄鱼快的
[1140.85] 这说明这个幽尾玄鱼
[1145.28] 赶紧封印一下
[1146.68] 又一圈
[1147.44] 有保护的嘞
[1149.549] 他保护地震没毛病吧
[1152.349] 没毛病
[1159.7] 我这样能杀人吗
[1165.1] 杀
[1171.38] 哎呦没怂啦
[1172.86] 神仙兔子压根血线
[1182.96] 对面接着冲
[1184.18] 随便冲
[1186.64] OK没问题
[1188.96] 然后就喷火了
[1189.9] 我要清场了
[1191.8] 喷的清得了场吗
[1192.76] 应该清得了场
[1195.44] 55%
[1197.42] 这边地震哦
[1198.46] 震队友都震呐
[1200.28] 那我还谢谢你啊
[1202.58] 那封印了
[1203.34] 注意是不能保护的啊
[1204.42] 所以直接喷穿它
[1205.46] 现在不喷更待何时啊
[1207.02] 是不是啊
[1207.78] 封印了他没法保护
[1210.02] 那不正好争队友
[1213.12] 这是件好事啊
[1214] 这是好事啊
[1215.1] 精神强健
[1217.58] 喷火赶快啊
[1220.4] 需要快不快的话就玩不了了
[1225.06] 你有巨人
[1225.96] 他算个老几啊
[1227.02] 唉都没几个能打的好
[1231.599] 直接喷火双杀了啊
[1233.03] 舒服44%血量
[1235.11] 喷的死吗
[1235.55] 喷的死啊
[1236.03] 可以啊
[1236.65] 这不错呀
[1237.39] 这是你别说还不错
[1239.07] 直接双杀了啊
[1239.81] 赶紧的
[1240.45] 嘿嘿嘿还行
[1242.17] 他怂不了啊
[1246.24] 封印了保护啊
[1247.48] 想给我拖拖什么拖
[1251.14] 还得是煤炭龟啊
[1252.42] 打得快
[1258.4] 所以你要带看穿
[1259.6] 你要带王盾
[1261.44] 想带保护
[1262.12] 不要乱带保护啊
[1263.26] 能不保护就不保护
[1264.78] 给你封印了
[1265.68] 你还保不保护
[1270.72] 哎嘿嘿嘿
[1272.68] 对面打不了了
[1273.6] 直接他估计后面是风妖精
[1275.65] 喷火龙啊
[1276.51] 那封妖精的话怂不了
[1277.81] 直接一个喷火加金枪秒了
[1279.35] 然后他歪喷来个啥
[1280.59] 哎就无所谓了是吧
[1283.37] 开挺快啊
[1284.53] 是不是挺快
[1285.53] 空间开起来啊
[1286.79] 赶紧打啊赶紧打
[1300.28] 啊这种的一个强化的花D队啊
[1305.62] 强化的花D对呀
[1307.02] 如果我们开出空间以后啊
[1308.88] 他有挑衅
[1309.86] 注意下他有挑衅啊
[1313.92] 好啊
[1314.52] 他有挑衅
[1315.2] 那我也有挑衅
[1319.56] 呃
[1322.46] 怎么说嘞
[1325.38] 感觉开了空间去喷的话
[1326.98] 还真喷不动他
[1329.1] 这个鼠鼠掩护一下
[1332.47] 烦的很累
[1334.27] 去吼他一波吧
[1336.69] 然后挑衅他
[1337.69] 吼他一波啊
[1339.53] 那他把你闪死了怎么办呢
[1344.86] 他咬一口把你闪死了
[1352.35] 先看他首发
[1353.39] 我们再决定决定啊
[1354.97] 后面虎虎的话随时击掌
[1357.19] 准备开第二轮空间
[1358.39] 但是要小心他的火力啊
[1359.87] 能不能击杀沙奈朵
[1364.44] 这你要去喷花D的话
[1366.1] 恐怕他冥想一下也喷不动啊
[1369.36] 啊咆哮虎和这个啊没问题
[1375.64] 让他冥想一下
[1377] 然后再说啥
[1378.96] 复制到花木
[1379.76] 可惜没复制到威吓啊
[1380.92] 真很伤
[1381.64] 那他要冥想一下了
[1382.84] 你真敢冥想一下啊
[1383.8] 兄弟
[1392.8] 愤怒门牙啊
[1394.04] 挑衅他吧
[1396.16] 挑衅这个荒地啊
[1399.04] 来了
[1405.5] 不要慌
[1408.74] 不要慌
[1424.6] 好他拍住上一朵没问题
[1428.04] 我们挑不让他冥想啊
[1433.8] 看他冥想对不对
[1435.22] 那这里还得压他一波血线呢
[1437.04] 不能直接去打
[1438.88] 哎呀
[1439.3] 你说直接打的话也打不动
[1441.28] 关键是
[1447.82] 高音吼一波
[1455.1] 靠我妈
[1463.6] 不要慌
[1464.74] 叔叔阵亡以后
[1466.38] 那我们再上这个跑九拍一个再开空间
[1470.59] 拍谁拍花地啊
[1471.67] 拍谁
[1472.17] 刚才没有复制到威赫不好
[1475.87] 他的咆哮力度还是不俗的
[1484.36] 他魔法闪耀没问题
[1485.68] 伤害如何
[1486.48] 伤害不算高
[1489.92] 高音吼一波可以看到伤害也还可以哦
[1492.48] 呦可以接受啊
[1493.24] 这力度不错嘞
[1494.38] 对面冲死我没问题
[1497.29] 那接着我们就是上咆哮虎拍住这个花D
[1500.65] 然后开空间
[1501.29] 你说那他不把你冲死了吗
[1502.65] 应该冲不死
[1503.8] 是不是啊
[1504.58] 因为我们威吓他一下
[1505.92] 伤害斗还有一半的血啊
[1507.22] 那击掌拍住
[1508.58] 这是咆哮虎的重要作用啊
[1510.34] 拍注K空间
[1511.84] 这样就OK了啊
[1513.06] 那山斗还有一半的血
[1514.24] 一定要保存他的血量啊
[1515.48] 否则这死了就还有一半多的血吸
[1518.72] 把空间开
[1520.38] 然后机长七夕拍
[1521.62] 当然拍花地
[1522.3] 花地力度那么猛
[1527.42] 花地走啦
[1529.06] 哎呦
[1530.86] 换上茶哦
[1531.9] 原来是这样难受哇
[1537.02] 拖空间嘞
[1538.06] 机长排空气了
[1541.98] 他抛一下哎呀
[1543.14] 开始拖空间了啊
[1544.02] 难受难受啊难受走
[1547.57] 马上走马上走
[1548.45] 不要犹豫
[1548.97] 马上走
[1557.18] 上花id
[1558.32] 那这下就麻烦了
[1561.87] 空间开马上走
[1563.21] 切煤炭龟
[1573.42] 啊冲
[1578.06] 啊茶可以反开空间啊
[1579.9] 反把他开回来
[1580.9] 查走了没有没有没有
[1582.26] 他查走了啊
[1583.82] 这里威吓一下
[1584.74] 没关系
[1586.87] 那我们是那个啥的
[1588.19] 马上白色香草的
[1589.51] 不怕他
[1592.08] 来杯速上带空间的有
[1593.56] 不过现在带空间的少
[1595.08] 有些带保护去了
[1596.56] 带保护就没格子
[1597.88] 带空间嘞
[1600.87] 他是不是觉得能够接一下好
[1603.51] 还是怂一下
[1604.27] 那没问题啊
[1605.11] 你拍只能拍一个吧
[1607.31] 兄弟你只能拍一个吧
[1609.729] 是不是啊
[1613.92] 喷火闪焰冲锋
[1618.38] 赶紧打啊
[1619.26] 这有点耽误时间
[1620.3] 刚才跑起
[1620.78] 我放虎归山了
[1623.21] 你有巨人来的微微和成傻子了
[1624.93] 还是你有巨人
[1626.1] 你有巨人
[1627.02] 他德行吗
[1627.54] 你有巨人
[1629.1] 耗死毛线都比你强点
[1630.44] 耗死毛线不怕威吓呀
[1631.94] 怪力浅
[1638.84] 他就是查荒野地虎
[1641.34] 还有谁啊
[1642.24] 还有地龙啊
[1644.08] 你来试试呗
[1659.18] 咆哮五又走
[1660.48] 那花海地就死了
[1662.2] 查的话
[1663.02] 当场喷死他呀
[1663.82] 你这是什么意思
[1664.62] 双杀了呀
[1666.38] 双杀了呀
[1666.94] 兄弟
[1669.68] 双换啊
[1670.58] 他还要保卖这个啊
[1673.77] 原来是卖这个好的双麦啊
[1675.25] 双麦他留咆哮骨就行了
[1677.61] 喷直接给你双杀了呀
[1680.32] 这不说啥了啊
[1681.2] 他也是腰带鼠
[1683] 就是三保一花
[1683.88] 外地嘛来杯醋茶花
[1686.009] AD鼠
[1686.529] 鼠咆哮虎
[1687.169] 三保一花id啊
[1688.429] 所以他花D死都不能死
[1690.489] 怀地死了就没输出了
[1692.69] 那我杀了你
[1693.85] 我这个输出可真不是开玩笑的
[1701.02] 快递还想着冥想呢
[1709.34] 看一下空间还有几回合啊
[1714.06] 要拍你就拍
[1719.32] 怀帝奥进气场
[1720.62] 怀帝血量还有73%
[1723.52] 空间
[1723.84] 还有两回合
[1728.18] 他拍谁
[1730.34] 喷火闪焰冲锋
[1738.7] 好机长拍出的是煤炭龟
[1740.48] 这里是晴天闪冲锋啊
[1741.78] 你可以试一试
[1742.68] 我们减一啊
[1743.62] 现在是晴天闪冲锋
[1745.02] 推一下减一哇
[1747.34] 哦差一点点
[1748.22] 可惜了呀
[1749.24] 哎呀哎呀
[1750.14] 烧伤了好的
[1750.7] 他死了
[1751.5] 没烧伤的话
[1752.5] 那下回他得保护啊
[1754] 下回我近战加喷火就结束了
[1755.98] 他明显无所谓无所谓啊
[1757.6] 这个无所谓啊
[1760.64] 因为空间还有一回合呀
[1762.24] 我还没完呢
[1763.16] 还有一回空间呢
[1764.24] 我近战加上喷火就结束了呀
[1767.93] 是不是啊
[1769.09] 他说这输出高啊
[1770.55] 晴天的哪怕威吓一下
[1771.81] 力度也高啊
[1773.379] 下回合我就是喷火加近战打咆哮
[1775.699] 我咆哮死了
[1776.419] 花艺三打一
[1777.099] 你有本事三打一吗
[1778.499] 我看看你有没有本事三打一啊
[1798.1] 这个弱火的就多了舒服弱火这么多呀
[1804.34] 糟了
[1821.74] 等一下我重新退一下
[1823.3] 那个啥
[1829.34] 点到右边有个图就是掉了啊
[1831.18] 刚才截的时候点错快捷键了
[1834.87] 这么几只嘛
[1837.07] 呃他这边也有空间呢
[1838.79] 还有工兵
[1839.91] 工佣兵的话有点麻烦
[1841.99] 工兵
[1848.9] 排住钢兵哎
[1850.7] 他QQ反开我空间的话难受
[1852.26] 我
[1864.7] 我看上谁啊
[1877.82] 来吧咆哮舞模式
[1885.7] 感谢涟漪送的五个小心心
[1889.92] 这个三朵就不好上啊
[1891.28] 对面钢系还有喷火龙这些啥的
[1894.44] 不好打啊
[1895.72] 果然是这两只
[1899.16] 我倒是有一计啊
[1901.16] 你说你有何计封印他一下
[1905.32] 白色香草的没问题
[1907.14] 那当然我是想开出这个空间的
[1910.16] 但是我有这个本事开出这个空间嘛
[1916.3] 击档
[1924.62] 先封印保护挺好的
[1936.4] QQ还白纸香草啊
[1937.72] QQQQ的话
[1940.16] 这个开空间呢
[1941.28] 他的命多容易开出来
[1943.34] 但是而且鬼系啊
[1945.18] 那QQ自身也干不了什么
[1955.08] 歪喷来了啊
[1956] 这真惹不起呀
[1964.14] 怎么说
[1969.04] 把击掌拍住
[1972.96] 喷火龙被缩了
[1975.04] 唉他还反开我空间
[1976.66] 你反开我空间
[1977.76] 你在那牛什么牛啊
[1978.8] 还反开我空间
[1979.8] 那给我耍了个
[1980.68] 他看他反开我空间
[1982.04] 哎我就服你这小聪明啊
[1983.88] 你小什么聪明啊
[1984.96] 小聪明真是给我整的
[1987.63] 嘿来点小聪明
[1993.9] 反开空间我就没打算
[1995.42] 我先封印再说
[1996.42] 现在开放心
[1998.18] 我有那个果
[1999.79] 这边怎么说呢
[2000.75] 这个死QQ也没什么屁用了
[2002.19] 是不是啊
[2002.47] Qq
[2006.5] 神偷四
[2009.06] 我去喂
[2010.98] 东大哥
[2012.72] 就打这个技能
[2015.28] 过热呀
[2016.08] 这个人带了哎
[2017.4] 要小心过
[2018] 一般带气象球啊
[2019.12] 我觉得770
[2020.04] 我们还有文月谷啊
[2020.8] 这接的了
[2021.929] 哎呀可惜啊
[2022.969] 这个有点猛啊
[2035.2] 还过吗
[2038.96] 他后排是那两只啊
[2040.36] 喷吧
[2047.84] 喷火
[2050.96] 闪冲锋啊
[2052.52] 神突字就可以了
[2053.28] 破个皮而已吧
[2059.24] 这过热直接把七星干死了
[2061.16] 那也没话说啊
[2062.54] 能杀770的人不多啊
[2064.28] 就钢兵这样的可以
[2065.38] 所以我们要拍一定拍出钢兵啊
[2067] 隐透析一下
[2068.239] 然后继续过热啊
[2072.159] 还过热啊
[2072.839] 这么牛啊
[2075.48] 没伤害
[2076.12] 还过热
[2076.6] 他还继续过热啊
[2077.52] 这有有信仰啊
[2080.339] 那你说你还有何好说的
[2086.44] 减四还要过
[2093.38] 我今天跟你拼了啊啊
[2097.4] 伤害实在是没有
[2103.22] 气象球闪焰冲锋
[2108.2] 或者热风啊
[2109.3] 不说气象球
[2114.86] 气象球吧
[2117.1] 想要闪焰冲锋
[2118.64] 这Y喷可能会换人
[2121.42] 换谁来接
[2123.99] 好喷火龙肯定换人
[2125.73] 换哪位啊
[2126.79] 钢兵呢啊
[2127.95] 换地龙啊
[2128.55] 地龙那没办法
[2129.35] 地龙加上那个谁是天下无敌啊
[2131.35] 他C到下咆哮虎
[2134.459] 我也打不动地龙啊
[2137.299] 齐天闪冲突一下是多少
[2138.579] 是多少伤害
[2139.179] 一半都没有
[2153.06] 点了QQ哎呀
[2155.71] 再上喷火龙
[2156.43] 地震就给我清场了
[2157.51] 你有巨人还有机会出场吗
[2158.91] 你有巨人还有的
[2167.1] 他如果首发地龙喷火龙的话
[2168.78] 这都没关系啊
[2169.62] 我们因为有机长嘛
[2184.02] 喷火龙的血量非常健康
[2186.24] 地震我就没了
[2225.76] 我你有巨人还要来打一下呀
[2227.48] 你有巨人
[2231.94] 跟你说没有空间
[2233.1] 我也可以单挑
[2237.4] 真的吗
[2239.28] 真的
[2250.72] 喷火龙走哦
[2253.72] 原来是一尾玄鱼啊
[2255] 我看能不能打死地龙
[2258.34] 他这个都比较快啊
[2259.8] 地龙喷火龙又为悬鱼
[2261.42] 所以只要开出空间的话
[2263.399] 就给打穿了
[2264.319] 当第一回合哎
[2265.479] 他确实反反开我空间还
[2267.41] 但是我封印了啊
[2268.37] 你看龙爪伤害没有伤害
[2269.53] 过去没伤害
[2270.05] 伤害这么高啊
[2270.61] 你又觉得你物防不是高吗
[2274.22] 还闻一股
[2274.98] 你看我一拳伤害如何
[2278.68] 还可以啊
[2279.52] 你看说这威力啊
[2280.36] 110威力零扫本系的
[2282.96] 我就看看能不能打死他而已
[2290.3] 感想马三天顺一暴打一顿
[2291.82] 送到七二筒
[2292.74] 退坑3年我又回来了
[2296.18] 改什么小鱼送的
[2297.1] 敬药桶
[2297.76] 一把游戏对面减三
[2300.22] 击中三次要害
[2301.14] 是不是随时有问题
[2302.06] 随手本来就有问题啊
[2326.86] 因为是螳螂大扭拉这几个呃
[2329.86] 这几个的话全是单体啊
[2331.14] 可以看到全部都是单体单体啊
[2334.26] 这是好事啊
[2335.1] 单体他是什么好事呢
[2337.89] 你说好事和好之友
[2340.3] 他肯定不上螳螂了
[2341.68] 我们直接喷火就给他干穿了啊
[2344.9] 所以你需要上的是哪几只类
[2352.02] 啊咆哮虎的话
[2356.85] 咆哮虎可以啊
[2357.93] 咆哮虎没什么毛病啊
[2360.17] 天气要拿到
[2361.01] 怎么拿到这四只啊
[2427.84] 连上了这两只
[2482.08] 一尾玄鱼怂一下
[2492.58] 首先日光束
[2521.04] 它悠游自如的意味
[2522.24] 玄宇
[2546.52] 水流喷射收掉
[2563.02] 伤害过半哪
[2572.66] 他后面有雨天
[2605.82] 大竹丸怂一下
[2610.3] 又全鱼怂一下
[2655.84] 硬冲呗
[2656.56] 一倍伤害能冲多少
[2657.9] OK冲死了
[2662.84] 极限物攻的咆哮虎啊
[2664.48] 打他是一倍伤害
[2667.94] 雨天下嘛
[2668.7] 一倍伤害
[2670.42] 那何为高音啊
[2671.66] 没打出气势必带文又果的
[2673.5] 原来是唉
[2674.14] 可惜啊
[2674.58] 差点把打死了
[2699.62] 单体高音呢按理说直接打死了
[2703.06] 差4%的血量
[2711.64] 他在上英文学语
[2739.94] 大嘴鸥怂一下
[2744.92] 有尾玄鱼怂一下
[2760.98] 扭曲时龙复原了
[2777.94] 感龙五爷梦大月神侠送的15个小月亮
[2837.24] 对面是这几个啊
[2838.7] 这几个有个人可以上谁
[2844.1] 你有巨人直接上
[2850.06] 你有巨人他行吗
[2853.06] 哎呀这泥有巨人行不行
[2855.08] 那也得行啊
[2859.22] 最后一只煤炭龟
[2910.22] 电喷火龙770
[2920.78] 崩
[2923.34] 额这边我能开出空间吗
[2927] 有可能可能有可能不可能
[2929.1] 那都试一下呗
[2931.999] 你有巨人直接首发
[2933.359] 他的耐久还是可以的啊
[2935.019] 双方100多嘞
[2936.199] 血也比较高
[2937.099] 把喷火龙直接崩死
[2956.2] 无影拳岩崩
