[0.42] 大家好
[481.85] 再乘以4/3
[483.11] 相当于两倍
[484.49] 就算我打个月亮之力威力95
[487.33] 那么乘以妖精气场加上本系威力就是190
[490.65] 对不对
[492.06] 月亮之力打出去190
[494.1] 你或者看成适应力也行
[495.62] 适应力也是一样的
[496.7] 像金光花那个适应力打本系技能成两倍
[500.18] 那他是妖姬
[501.14] 他只打妖姬技能吗
[502.18] 你如果把他写成适应力也是一样的
[505.1] 你说不一样
[506.24] 因为其他保护们也可以蹭你这个气场
[508.6] 你私利别人又不可以蹭对
[510.73] 如果你和郑一发配合
[512.21] 那正义发不也可以蹭一下你的气场吗
[514.27] 输出更上一层楼没错
[517.23] 所以这个气场呢和适应力不一样
[519.39] 我说他自己打输出的时候啊
[521.21] 你可以看作是用适应力去打
[523.95] 打个月亮之力
[524.95] 威力95×2倍
[526.75] 所以就算是效果
[528.27] 为什么泽恩贾斯他怎么不带个什么其他技能呢
[530.57] 泽尔加斯怎么不带大得利啊
[531.85] 因为泽尔加斯他不会大得利
[534.23] 如果会大自己当然不错啊
[535.85] 你说泽亚斯会10万伏特
[537.11] 他怎么不带个10万伏特呀
[538.73] 因为你打10万伏特
[540.87] 他的威力也不可能有月亮之力高
[543.39] 你算不到
[544.35] 比如说打盖欧卡吧
[545.39] 90×2=180
[547.13] 我月亮智力多少啊
[548.51] 190是不是190啊
[552.36] 所以即使效果不好
[554] 我减半效果不好除外
[555.76] 也等于95这种的就靠本系输出的
[559.099] 那就打月亮
[560.099] 打妖精技能就行了
[561.639] 不用其他技能
[563.44] 他本身也确实没有什么其他技能可用
[565.94] 还有个啥
[566.58] 他和花花草草相关
[567.68] 他会个能量球
[568.6] 会有花粉团
[569.54] 这些都不重要
[570.54] 一点意义都没有
[573.98] 所以花帝他只玩妖精技能
[576.62] 就和泽恩家师一样
[577.62] 泽恩加斯保护大地
[579.489] 掌控月亮之力
[580.449] 魔法闪耀
[581.149] 单体月亮之力威力95
[583.209] 群体分散80威力
[584.969] 魔法闪耀
[586.16] 那怀帝他也是一样的
[588.24] 妖精系打不了这三个啊
[592.31] 火毒钢
[593.29] 所以他需要找一个什么呢
[594.87] 找一个原始固拉多哎
[596.15] 有没有原始固拉多啊
[597.07] 有的兄弟
[597.67] 有的妈的喷火陀
[599.47] 他不是小原始固拉多吗
[601.06] 那你说我花地和马拉喷火头配合行不行不行
[604.26] 因为你俩都占马了
[606.109] 泽尔尼亚斯不占马达位
[608.529] 原始固拉多不占马达位
[610.97] 你花AD是马嘎花AD那个喷火图
[614.13] 人家是马嘎喷火图啊
[615.13] 你咋不说
[615.81] 嘿
[616.19] 所以他俩不能配合
[617.33] 因为他俩这个只能买他一个啊
[620.149] 所以你不能说呃我去学这个泽尔加斯
[623.129] 我带个小原始固拉多对吧
[625.72] 我也是妖精气场
[626.9] 马克破头帮我打一下这个火毒钢啥属性的
[630.14] 没有这种说法啊
[631.72] 不能带两个马啊
[633.21] 你带了的话
[634.37] 你只能选出一个嘛
[635.41] 我们说战斗中你只能马拉一个
[637.19] 所以不存在荒地和哪个配合来个来个补充啊
[641.81] 所以你只能和谁配合呀
[643.53] 你可以和地面系大哥地龙配合呀
[646.77] 地龙不是帮你打这些吗
[649.33] 是不是啊
[650.16] 地龙帮你打这三种属性呢
[652.5] 如果是喷火龙我崩他
[655.2] 如果是耿鬼
[655.88] 我震他
[657.9] 如果是鬼剑我震他
[659.76] 对不对啊
[661.4] 所以啊你可以找地龙
[663.38] 他配合最多的呢也是地龙
[665.38] 妖精细马
[666.12] 就是这样
[666.76] 你就看透泽尔加斯就行了
[670.75] 另外就是他在普通里面的
[673.01] 他不叫小作家
[674.19] 斯叫小镇一发
[675.25] 他的力度和眼镜发的力度是一模一样的
[677.75] 也是环境中火力第二的
[681.07] 刚说马嘎第二火力也是第二
[683.17] 低的是谁啊
[683.81] 低的还是外喷呐
[685.19] 那你要说最高爆发力还是晴天Y喷的热风过热
[689.55] 气象球这个力度真的很高
[691.65] 像气球一倍伤害
[693.17] 你不抵抗的很多就死了
[695.21] 像耿鬼啊
[696.39] 这些脆皮啊
[697.29] 什么大扭拉呀
[698.39] 打个气球就死亡
[700.04] 这个真的很厉害
[701.12] 这个外喷呐
[702.26] 他是火力第一人
[703.72] 那第二人就是小震一发
[706.49] 画D你可以算一下
[708.45] 我们都加满特工啊
[709.79] 他特攻种族155
[711.349] 发姐是135对吧
[713.149] 然后我们加26
[714.229] 他特有能力值打满
[715.349] 努力值加32点嘛
[716.609] 207
[717.429] 你看他187
[719.889] 我们都算胆小性格啊
[722.449] 我写一下
[723.149] 胆小都是胆小啊
[724.589] 一样的
[726.71] 那么他们的特工数值上来说
[728.91] 因为发姐135
[730.11] 你要你155
[731.27] 当然你比他高20点没问题吧
[734.55] 但是你你乘妖精气场吧
[737.75] 乘以4/3
[740.05] 发姐成眼镜
[741.35] 我们都锁道具啊
[742.49] 你锁的马拉什
[743.37] 我锁的眼镜呢
[744.77] 我们是一样的
[746.66] 他都用280
[747.74] 你看276是不是一样的
[749.42] 所以你算下来
[750.66] 你一沉下来
[751.3] 你发现花椰帝他的这个输出和眼镜发姐一样的
[756.96] 发姐打月亮之力魔法闪耀
[758.92] 我也是这么打的
[760.1] 一模一样
[763.26] 当然你说你还有妖精气场
[766.24] 我还有晴天
[767.34] 你咋不说呢
[770.1] 晴天
[770.88] 当然你在晴天再乘个1.3
[772.82] 还是发点力度高
[774.02] 是不是
[776.96] 实际上如果有发姐的话
[778.88] 那么发解他是完爆永恒化学地的第一
[782.02] 这一发不占马岗位吧
[783.62] 我是普通宝可梦
[784.58] 我随便用
[785.24] 你说这这还是普通吗
[786.46] 还真是普通啊
[787.44] 普装不随便用吗
[788.5] 就这一发啊是吧
[791.47] 这一方随便用
[792.63] 第二我不锁道具
[793.99] 我比较灵活
[794.95] 我可以带去能量
[795.91] 我可以带气势皮带我道具更灵活
[798.709] 你只能带这个
[799.649] 你不带这个
[800.129] 你玩不了
[801.15] 普通话地
[801.95] 能不能玩普通话地花木啊
[803.35] 刚忘了说了是吧
[804.33] 普通话地就一个花木特性
[805.67] 没有什么用
[806.5] 中路551和和花姐夫人一样
[808.46] 花姐夫人花木草系宝可梦
[810.22] 不会诶
[811.16] 这个能力不会下降
[813.16] 就这样
[813.82] 你可以配合轰雷金刚猩红利
[815.06] 该不会被威吓嘞
[816.02] 是不是啊
[818.77] 这发解更灵活
[820.13] 第三这个发姐是鬼压妖
[822.84] 你是纯妖
[823.76] 谁好
[824.38] 当然是鬼压腰好啊
[825.56] 人家还可以打暗影球啊
[826.52] 打击变更好
[827.34] 打击理论无盲点
[828.829] 你遇到刚鬼
[830.329] 比如说遇到我们就说遇到赛富豪
[831.929] 你能不能打赛富豪快递是不是打不了赛博豪啊
[834.87] 打不了
[835.47] 因为你纯妖精系
[836.53] 我发姐专打赛博二
[837.83] 你信不信
[838.43] 嘿嘿还真是赛博豪
[839.75] 看到发姐
[840.35] 虽然她也能逃这个发姐
[842.07] 但是我按你球
[843.459] 你怂不怂
[844.099] 哎就那个赛博尔说我还是有点怂
[846.299] 是不是有点怂了
[847.519] 那也不是跟你开玩笑的
[849.64] 然后就是这一发呀
[851.1] 他还有什么
[851.84] 他速度135135
[855.05] 你是多少
[855.61] 102
[856.17] 不好意思
[856.53] 你这个速度很尴尬
[857.75] 太慢了
[858.83] 跟我135比
[860.05] 那没有可比性
[861.28] 所以你可以你可以随便去对比
[864.1] 我说正义发完爆花D1点都不过分吧
[867.44] 不过分
[869.559] 不过这个怀帝它有它的好处
[871.759] 因为他是特殊宝可梦
[873.199] 他有个专属的
[874.219] 就像郝月熊有个什么血月140为例
[877.67] 我也有我破灭之光
[880.16] 不过因为这个技能出早了啊
[882.2] 哎这140破灭之光他要反伤一半
[885.42] 就像双刃头锤
[886.84] 像那个炎武王的双刃头锤一样反伤一半
[889.1] 郝月熊那个技能是不是有点无耻啊
[891.839] 血月只有一个副作用
[893.859] 不可以连续使用
[894.879] 这算什么副作用啊
[896.019] 你耍赖吗
[896.839] 这不是140
[898.279] 没有任何的反伤
[899.78] 没有任何的下降能力啊
[901.3] 就是不能连续使用
[902.52] 太过分了啊
[903.54] 这个技能对不对
[904.87] 而破灭之光呢像双刃头槌一样
[907.37] 要反伤一半
[908.53] 像反伤类的这种技能啊
[911.3] 血多比较好
[912.6] 但是华帝恰好血又不多
[915.25] 哎呀很难受
[916.99] 不过毕竟他的专属啊
[918.91] 爆发力更强
[920.15] 140威力啊
[921.37] 那比月亮之力95
[922.57] 那不高哪里去了对吧
[928.25] 所以这个这一发呀如果有这一发的话
[932.03] 这荒地还需要马嘎花1D吗
[934.01] 不如马嘎别人吧
[935.23] 你说也需要我两个一起上妖精去把对面干穿
[938.29] 那因为我们的妖精技能的威力不断的叠加
[941.82] 太夸张了这个力度
[943.64] 所以我们可以通过妖精把对面给干穿
[946.28] 那怕妖精的都不给他打
[947.92] 灭绝了呀
[948.68] 直接还真是这样
[951.95] 只是说我说这个正义发啊
[954.13] 它比它好用多了
[955.37] 如果你马岗位有更更优秀的更好的
[957.71] 那么就不要考虑它了
[959.01] 但现在没有是吧
[960.01] 现在没有
[960.62] 所以现在花地啊还是不得了
[962.56] 排在马嘎第二位
[964.959] 其实沙奈朵啊
[965.959] 我最喜欢玩沙奈朵
[967.119] 他那个妖精皮肤高音
[968.639] 那和他的这种魔法闪耀也差不多
[972.22] 高音威力90嘛
[973.8] 哎比你魔法闪耀威力80
[975.3] 高乘以妖精皮肤1.2
[976.92] 你是80的魔法闪耀乘以多少乘1.3
[980.52] 3333吧对吧
[982.26] 所以我说他俩的威力差不多
[983.92] 你的高音威力确实和魔法闪差不多
[986.84] 但是单点爆破呢
[988.6] 我单点爆破有月亮之力
[990.62] 你能比吗
[991.54] 没有
[992.12] 因为你是妖精皮肤
[993.48] 你说赛斗也可以带月亮之力
[995.29] 你带月亮之力不就吃不到妖精皮肤了吗
[997.65] 你就是裸威力95吗
[999.43] 我这有气场啊
[1000.77] 能不能比不行
[1002.21] 上一朵我们玩了几次了啊
[1004.829] 你也说了
[1005.949] 三朵有个缺点
[1007.389] 什么缺点
[1007.949] 他没有爆发力
[1009.41] 他单体只有个精神强念
[1010.97] 这算什么
[1011.65] 啥也不是
[1012.47] 它没有爆发力
[1013.75] 而这个是真有爆发力啊
[1015.55] 对不对
[1016.66] 因为你95单体要乘以气场啊
[1019.6] 刚才说了乘以二嘛
[1020.54] 直接190
[1021.5] 三朵能不能有190的威力
[1022.94] 你随便数
[1023.42] 没有杀手
[1024.739] 没有办法
[1025.459] 真是爆发力不一样
[1026.779] 因为我妖精皮肤就注定了
[1028.059] 这样你带个破坏光线
[1030.15] 你说可以
[1030.63] 谁会带破坏光线呢
[1031.81] 没有人会带破坏光线
[1033.03] 我们一般不带这个技能啊
[1034.83] 不带这个技能
[1037.43] 感谢宝可梦御主御主元K送的金话筒
[1039.67] 泽尼斯大战一发吗
[1041.01] 泽尔尼亚斯啊也不过是小胜一发
[1045.1] 这个正义发呀还是有用一些啊
[1047.74] 你怎样都绑定强力香草
[1049.12] 主要他这个高速鬼压腰又不怕击掌神战
[1053.45] 你看他也是烦的很
[1055.13] 这个精灵啊真的烦的很
[1056.33] 配合这个晴天
[1058.64] 这就是这个华丽的输出啊
[1060.64] 比较的凶猛
[1062.89] 他和三朵呢有区别
[1064.69] 但是玩法阵容上这个构筑啊差不太多
[1068.889] 都是需要个顺风呢
[1070.409] 然后怎么打
[1071.109] 只是玩的时候呢这个不太一样
[1074.29] 三朵需要压血线
[1075.45] 然后多吼几波队友掩护或者有顺风啥的
[1078.07] 把对面猴穿
[1079.06] 但是杀斗会开戏法空间呐
[1080.6] 花D会不会呀
[1081.62] 花D不会开空间
[1083.729] 发姐会啊
[1086.649] 杀了还会灵活
[1087.9] 这发点就缺一个技能
[1089.3] 就是灵活
[1089.88] 他要是会灵活的话
[1090.86] 那太过分了
[1091.72] 你高速上来给他点一发灵火
[1093.54] 那基本上那物攻手全都给你搞废了
[1095.79] 所以没有给他灵活
[1097.11] 他也不会灵活
[1101.68] 然后看一下他的这个排位啊
[1104.28] 破灭之光带不带破灭之光带的少啊
[1107.06] 带的少
[1108.87] 一般来说在前面四个技能你也看到啊
[1111.67] 就这么四个技能保护魔法闪耀冥想月亮之力
[1118.18] 因为他不会大地掌控吧
[1119.78] 所以把这个大地掌控换成冥想就可以了
[1124.04] 冥想一下
[1124.88] 在特殊端打不动
[1126.66] 因为他特防高达148的种族值啊
[1130.24] 本来就打不动你
[1131.52] 冥想一下
[1132.08] 歪喷也拿你没办法
[1133.5] 虽然你说我也打不动歪喷呐
[1135.76] 但歪喷还真是拿你没办法
[1138.3] 特防太高了
[1141.22] 道具呢默认这个啊
[1144.2] 99%
[1145.04] 就是默认他是一定是马格化AD啊
[1147.54] 其他的什么地雷配置
[1148.84] 什么围巾的画地有没有意义呢
[1151.22] 我说没有任何意义
[1152.61] 还有什么精神强奸
[1153.93] 这些都不用带啊
[1155.03] 你说精神强强
[1155.93] 我知道你说的大
[1156.65] 你拉嘛没啥意义
[1158.09] 说实话
[1159.49] 精神强念终极吸取能量球
[1162.17] 花粉团
[1162.65] 就连草系会的技能没有任何的意义
[1167.08] 性格内敛或胆小
[1168.44] 二选一一般是内敛
[1171.5] 因为他特工非常高
[1172.5] 150多的种族嘛
[1175.17] 他有几种玩法
[1178.49] 其实从这里来看啊
[1180.45] 从这个现在啊
[1182.279] 在这个游戏里面可以看到他的能力加点了
[1185.299] 哎呀这样就方便多了啊
[1187.139] 这样说努力值怎么加
[1188.469] 打开游戏打开这个数据啊
[1191.689] 在排位对战那里啊
[1193.389] 打开数据它有个能力加点
[1196.06] 现在都不在扑克梦home目上看了
[1197.6] 游戏里面直接看奴隶是怎么加
[1200.17] 你是不是可以参考了
[1201.59] 可以参考
[1202.67] 而且很多他是一类啊
[1204.37] 比如说这个就是加满特攻和速度
[1209.61] 还有两点hp
[1211.03] 就是二娃娃特攻
[1212.19] 二娃速度和SP嘛
[1213.95] 二娃大法就是我们说的
[1216.01] 那你说这种移不一样啊
[1218.23] 加满速度
[1219.41] 加满特攻
[1220.13] 加两点物防
[1223.1] 然后加满速度特攻没加满
[1225.38] 加四点血
[1227.66] 一不一样
[1228.6] 你说一不一样
[1229.44] 这几种一不一样没区别
[1231.32] 这种都是我们说的
[1232.84] 它是高速的化D
[1234.26] 那不就是一样的吗
[1236.08] 你说你把那两点加到血量
[1238.26] 加到物防哎
[1239.24] 我一点血量一点物防有区别吗
[1241.76] 没有区别
[1242.74] 就是二玩大法只是把剩下那一点加哪里去
[1247.109] 其实本质上没有什么区别对吧
[1249.329] 你爱加哪加哪并不影响什么
[1253.26] 所以他这个都是一样的
[1255.1] 二娃大法这种可能打破灭之光
[1257.94] 追求一个爆发
[1259.639] 不冥想了呀
[1260.979] 保护魔法闪耀月亮之力
[1263.439] 破灭之光
[1264.619] 保护三个妖精技能直接轰穿对面
[1268.17] 如果魔法闪能闪死闪月亮阵
[1270.17] 打死月亮之力
[1271.13] 如果说像钢兵这样的钢兵
[1273.17] 他是钢加刚加这个恶一倍弱妖精
[1279.86] 但他的特防的耐久又可以
[1281.72] 所以一个破灭之光可以把他秒杀了
[1285.69] 140威力乘以气氛
[1288.65] 加上本系280是吧
[1289.81] 我们就乘以二二百八威力
[1292.03] 可以秒杀很多耐久高的
[1294.389] 这你如果简单的干的话
[1296.249] 那就是这样
[1297.469] 所以你可以通过努力值啊
[1299.589] 这个加点来看它有几种玩法
[1301.949] 还有一种就是比较肉的
[1303.149] 你看这个速度加一点的
[1304.469] 加12点的
[1305.189] 加20点的或者不加的
[1307.25] 你发现他加什么去了
[1308.79] 加这个血量
[1309.77] 尤其是血量
[1312.01] 还有些加点物防
[1313.95] 你如果想分的复杂点
[1315.31] 你看这个第八使用率排到第八的
[1317.35] 这个是不是加了血
[1318.99] 然后加些这个物防又加特攻速度少加点
[1324.16] 所以一种我们叫肉花1ad嘛
[1326.16] 就是比较肉的花AD加些血量耐久
[1328.7] 经常血量都拉满了
[1330.12] 三十二三十二全都拉满的
[1331.64] 都是拉满血量
[1333.33] 还有一种就是把速度拉满
[1335.58] 高速滑学D两种了
[1337.26] 是不是两种两种
[1339.22] 那肉化学D的话
[1340.58] 就是玩肯定应该是玩冥想那种输出型的
[1343.49] 就直接给你轰就完了对吧
[1346.03] 道具这些是锁定的
[1347.29] 不管性格的内敛
[1349.15] 这些都是固定的
[1350.87] 所以你可以在这里面看他的玩法有几种两种
[1355.43] 就这两种啊
[1357.83] 这花季你说不只有一只吗
[1360.37] 你可以在朋克home上跟别人交换了
[1362.61] 唉换来几只吧
[1364.19] 找别人换一下
[1366.57] 你看别人需要啥
[1367.99] 你给他提供准备
[1369.63] 你至少准备两只花id啊
[1371.43] 你从Z里面可以传一只过来
[1373.99] 传来以后呢
[1374.95] 这个马大师就送给你了
[1376.57] 但是另外一只呢你就要在普通m home上跟别人换
[1380.41] 第一种就我们说的直接干的啊
[1383.25] 保护月亮之力
[1384.21] 魔法闪耀
[1384.57] 破灭之光威力最高威力280
[1387.84] 190
[1389.08] 魔法闪耀分散威力有点低啊
[1391.96] 120嘛
[1392.98] 对不对
[1394.2] 三个攻击技能直接轰就完了
[1397.27] 像眼镜发
[1398.35] 他带个什么
[1399.25] 是不是带暗球啊
[1400.53] 哎呀没办法
[1401.31] 人家会暗球啊
[1402.19] 人家可以多带个暗球
[1403.27] 你没有的话就算了
[1408.7] 另外一种就是肉一点的
[1410.54] 肉一点的就加一特攻
[1412.18] 那我这血还没加满啊
[1413.38] 你可以加满
[1414.06] 加满可能好一点
[1416.09] 然后速度呢看你要过谁
[1418.31] 首先你先加速度
[1420.71] 其他的先不管
[1421.81] 先加速度
[1423.03] 我这物防加少了
[1424.47] 你物防可以加个20点
[1425.83] 特攻少加点嘛
[1426.95] 啊特攻我这加的多
[1428.639] 因为我这个特工啊
[1430.199] 哎我算的啊
[1431.639] 是刚好一个月亮之力能秒的大牛拉
[1434.259] 如果你家少了一个月亮之力
[1435.839] 刚好秒不了大牛拉
[1438.08] 你需要冥想一下
[1440.28] 这种就是不冥想也可以输出啊
[1442.46] 啊保护冥想
[1443.54] 月亮之力
[1444.04] 魔法闪耀就是标准四个技能速度
[1446.4] 你可以看到这里124哎
[1448.86] 就是说你马嘎以后嘛
[1450.58] 啊马嘎以后这里加了12点
[1454.1] 那么他马嘎以后呢
[1456.2] 102码
[1457.04] 122
[1457.68] 加上12点就134
[1459.08] 对不对
[1459.32] 134在冰冻之风以后一次可以过200线
[1462.82] 有耿鬼那个线
[1464.04] 你说要不要过大妈大妈
[1465.78] 134呢
[1468.33] 看你自己吧
[1469.51] 我过200线
[1470.53] 主要是如果你冰冻之风一下或者是围巾的啥的
[1474.56] 冰冻之风一下
[1475.52] 刚好比化世纪龙就快一些啊
