[77.46] 各位朋友大家好
[209.54] 他地龙就算是切这个大嘴鸥
[212.12] 雨天下冲诶
[213.06] 他冲冲死我了
[213.98] 那他是冲不死的啊
[215.24] 那一定是冲不死的
[216.42] 不用管他
[217.18] 那这里拍住地龙
[218.48] 如果你地龙不走呢
[219.78] 那就威吓一下你地龙也没什么危险
[221.58] 而且我也要拍住你
[222.75] 如果你走切大嘴鸥
[224.27] 雨天下也没有关系啊
[225.73] 冲咆哮五的话
[226.67] 咆哮抗水果
[227.71] 那冲耿鬼的话
[228.83] 那也冲不死
[229.51] 我们暗影球一定要先把幽尾玄鱼打死啊
[232.35] 这个幽尾玄鱼的话
[233.87] 首发倒好处理
[234.83] 有些人他又尾玄鱼放在后排啊
[236.83] 好对面切切大轴
[238.15] 没关系啊
[238.59] 你随便冲你尾玄鱼必死啊
[241.16] 把右拳放到后排来清场了
[243.04] 很麻烦
[243.64] 我们第二轮灭歌的话就不太好唱了
[246.42] 他这到时候扫墓的话
[248.42] 这有时候不好顶
[249.89] 但是来杯醋茶
[250.97] 看鬼果的话是可以顶下的
[253.65] 那冲吗
[255.25] 好我们击掌奇
[256.19] 拍住这个大嘴鸥啊
[258.66] 金融危害不需要金融危害啊
[260.54] OK对面直接冲了
[261.82] 他应该是违禁的比我们快
[263.77] 然后他反伤一下
[265.21] 我们暗影球就必定能打死他呀
[267.17] 所以不用去担心这个右翼玄羽暗影球
[270.55] 拜拜
[273.22] 那义务学就阵亡了嘛
[274.62] 啊这个就很简单了
[278.12] 然后他再上谁看他再上谁再上地龙
[281.16] 地龙的话就可以地震
[282.74] 然后加上一个象球点
[284.8] 这个好吧
[285.64] 地龙来了啊
[287.57] 地震加上象球点咆哮虎
[290.11] 那么耿鬼那是必须得保护一下呀
[294.599] 耿鬼保护一下
[295.659] 然后切上来杯醋茶挡气象球和地震啊
[298.479] 顺便给耿鬼奶一口
[302.13] 好直接走
[305.21] 想来杯出来奶一口
[308.66] 回1/4血耿鬼的血量70
[312.85] 啊耿鬼松一下
[314.19] 看他是不是气象球加地震
[318.64] 哦大嘴鸥先动
[320.7] 那这个大嘴鸥怎么可能比地龙快
[323.44] 大嘴鸥极速128呀
[325.02] 那大嘴鸥他是好
[327.509] 这边跺脚
[328.309] 大嘴鸥这边是围巾的吧
[330.329] 这个幽尾玄鱼不是围巾的
[332.549] 幽尾玄鱼悠游自如
[333.549] 应该是神秘水滴的啊
[335.01] 神秘雪地也冲不死
[336.33] 不用管他
[336.81] 没有适应力
[337.33] 更加冲不死啊
[338.25] 神秘雪地也二倍威力
[339.799] 这样的话这个大嘴鸥就是锁了气象球啊
[343.719] 耿鬼这边只能切鼠鼠
[347.56] 酱球的话
[348.24] 那打不动那个谁啊
[349.28] 酱球打不动来被促查嘞
[350.82] 我们这边刷一个回个血
[353.69] 大嘴鸥肯定是围巾啊
[355.21] 因为你地龙你不加速度122
[357.07] 那地龙怎么可能不加速度呢
[358.73] 你再怎么加速度都不可能比128慢的好
[361.59] 大嘴鸥继续抢球
[362.35] 你看他明显是锁了这个气象球啊
[364.25] 围巾大嘴鸥伤害这么爆炸吗
[368.3] 零四偶双点耿鬼的位置啊
[370.42] 那必杀这个位置
[371.58] 那确实必杀没关系啊
[374.52] 我们先刷一下
[375.36] 回个血啊
[375.98] 对面两只对我们没什么威胁
[379.9] 他锁的是气象球
[383.46] 那刷一下回个血啊
[386.469] 你看大周非常脆皮啊
[387.789] 都快把他刷死了
[388.889] 哎烧伤的地龙非常好
[393] 吸一下
[393.62] 那查的血就满了啊
[396.63] 大嘴也烧伤了
[397.63] 大嘴伤倒无所谓
[398.85] 这个地龙的话
[400.07] 等我威吓他一下就行了
[401.35] 那这里查的血已经满了
[402.47] 对面已经打不动了啊
[406.12] 大嘴也烧伤
[408.72] 然后的话我们上那个咆哮虎可以拍一个
[412.21] 开空间呐
[413.17] 呃他围巾大嘴鸥的话
[414.95] 那现在直接把他干了就行
[416.09] 他就怂不了
[417.01] 他最后是谁啊
[419.12] 最后一只是马拉快龙或者是呃机长啊
[424] 马上快龙或者是这个大扭拉嘛
[426.54] 或者马克华帝都行
[428.74] 那地龙现在已经是个废了
[430.28] 要不要开空间
[431.46] 还是把他刷了吧
[433.22] 刷了啊
[434.34] 他的快龙没有我们的这个耿鬼
[436.94] 快
[437.24] 等我去定他的快龙的暴风
[439.04] 如果有快龙的话
[441.54] 至于地龙
[442.34] 因为他烧伤了嘛
[443.4] 如果地龙没烧伤的话
[444.58] 可能还是开空间比较好一点好了
[447.04] 距离射哎
[447.56] 这都忽略不计了啊
[448.7] 打一下竟然打了个六点血
[450.82] 你随便射
[452.59] 等离射本来就很不稳定
[454.21] 我们这打死他就OK了
[455.63] 而且还能把血吸满
[458.53] 大嘴鸥畏缩了
[460.01] 刷茶泡
[461.05] OK杀了大嘴鸥啊
[462.09] 因为大嘴鸥他锁了气象球
[465.05] 判断对面道具也很重要啊
[467.17] 那最后只出来吧
[468.39] 马娃花D或者马化快龙都是可以的
[476.98] 那对面直接点了
[478.14] 那最后只可能是马格花1D吧
[479.98] 那马格花地
[480.9] 我们两个满血
[481.66] 他也无力回天了
[485.04] 对面这个队伍比较麻烦呐
[487.6] 有770
[488.82] 还有钢兵
[489.74] 我们还不能击掌
[491] 然后他有歪喷
[492.14] 还有顺风
[493.159] 可以说是这个麻烦的点都在这里了啊
[497.08] 那我们只能首发这个耿鬼
[499.92] 然后还是鼠鼠咆哮虎牛蛙这一套呃
[506.67] 也没什么办法啊
[507.97] 那他有歪喷的话
[509.47] 基本上都要上那个牛蛙
[511.01] 那斗龙的话还是一样
[512.59] 他这边都会加一个妖精吸进去
[516.009] 他有可能会挂一个花id啊
[517.989] 就算他马了都是歪喷
[519.429] 他也可以挂一个花id
[521.63] 然后后面的话是钢兵
[523.35] 骑行林啥的
[524.29] 我们基本上打秦天都只能这一套啊
[527.11] 如果说他没有怀帝的话
[529.77] 你可以试下斗龙
[531.11] 我打晴天呢也基本上这个模式
[533.65] 不过不能保证能赢啊
[535.43] 因为对面的话这个晴天也是比较难打的
[538.73] 尤其是对面有时候第一回钓你鱼的话
[540.73] 可能第一回就已经输了
[545.98] 看对面怎么首发
[548.82] OK对面直接770钢兵啊
[551.38] 也不跟你装了啊
[552.46] 你击掌不可能
[553.54] 然后你还送他不服输
[556.5] 他这个根本就不像个空间队啊
[558.74] 那我们直接唱歌
[560.08] 然后这里鼠鼠的话就会死啊
[561.82] 如果他开空间的话
[563.02] 当然最好开空间的话
[564.02] 那鼠鼠还可以活命
[565.25] 如果他不开空间而选择集火的话
[567.53] 扑刀加金人强念
[568.95] 那鼠鼠就阵亡了
[573.98] 我们先拖死这两个再说
[576] 他开空间的话
[577.14] 因为对我们来说就相当于赚了
[578.66] 因为我们随时可以拖他啊
[581.22] 这里看我妈
[583.379] 你可以开弓箭
[584.259] 也可以杀了鼠鼠
[588.6] 他第一回合一般来说倾向于集火耿鬼的位置啊
[592.61] 呃不太可能开空间
[593.95] 但是如果你两个都保护下他
[595.33] 真的开空间的话
[596.43] 那不就炸了吗
[597.45] 是不是下回合你可就凿了啊
[599.89] 往这边杀吧
[601.01] 没关系
[603.17] 一刀鼠鼠就死了
[604.45] 实在是接不了啊
[605.85] 葡萄加精神强念
[608.45] 那这样的话
[609.01] 灭哥给他拖到三回合
[615.08] 然后我们这里上那个不能上咆哮虎嘞
[618.48] 哎只能上这个牛蛙啊
[621.41] 牛蛙的话可以再来一次
[623.27] 加上定身法
[630.58] OK那定的话只能去定钢兵
[633.02] 因为齐齐林金人强要打不死我们
[635.38] 但是这个呃
[637.39] 但是这个这个这个钢鞭是真的
[639.83] 一刀能把你砍了啊
[641.2] 他精神强念
[642.32] 那也没关系啊
[643.18] 这就把耿伟定了啊
[644.52] 把这个钢笔给定了
[646] 这样钢密的话就只能挣扎了
[649.33] 然后再来一次
[652.62] 钢兵的话就没有技能可点
[654.5] 只能挣扎了
[655.58] 这边要念吗
[658.539] 哦开空间啊
[659.499] 他自信能够杀掉耿鬼
[661.259] 然后的话呃这个这个开空间来打对吧
[665.22] 如果你怂的话
[665.94] 下回他还是要砍你
[667.12] 不过的话
[668.26] 这这里我们把钢兵给定了
[671.18] 所以钢兵的话还有两回合
[672.42] 他要挣扎了
[674.359] 那这一回合的话
[676.079] 我们的耿鬼肯定是要怂的
[677.599] 他精神强奸会打过来呃
[680.98] 钢兵的话应该在灭哥之前都会死啊
[684.08] 他没有办法输出的
[686.32] 牛蛙的话
[687.06] 要么再来一次
[687.8] 他精神强念
[690.84] 或者抛一下
[692.16] 因为他后面还有个喷火龙
[693.92] 我们需要去拿到雨天呐
[695.94] 这里拖死以后
[697] 等会绫华直接唱歌
[698.24] 也不用雨天了啊
[699.79] 因为他自己开的空间呢
[701.65] 我们就可以先唱歌啊
[704.23] 这边切咆哮虎吧
[705.67] 然后的话嗯等会等会这个啥耿鬼保护一下啊
[711.25] 等会可以泡一下
[713.46] 刚病的话就不用管他
[714.82] 下回合耿鬼下去
[716.18] 然后抛弃我抛就可以了
[719.45] 咆哮和麒麒麟速度都是60的种族
[722.57] 那么速度是一样的啊
[724.33] 不过因为我们是零速的
[725.85] 所以可能是我们先抛钢兵的话
[729.4] 只能挣扎了
[731.2] 而这里挣扎咆哮五伤害还是挺高啊
[733.12] 挣扎了个50来点血
[735.83] 这边念他肯定是念耿鬼啊
[737.59] 这个没话说
[738.53] 然后耿鬼这边灭哥还有一回合
[741.55] 耿鬼肯定走嘛
[743.53] 然后空间下把最后一轮灭歌唱出来
[745.85] 他就算有喷火龙也不行了
[749.19] 然后这边抛走
[754.76] 抛出这个耿鬼来啊
[756.2] 抛出这个耿鬼啊
[757.32] 从左边跳右边
[760.16] 对面念一下牛蛙的话没什么问题啊
[763.85] 来这边抛一下啊
[764.97] 我们先抛
[765.53] 可以看到对面的速度还没我们快啊
[767.31] 他都不是零速的
[768.45] 他本来就是个顺风队啊
[769.88] 他的速度并不慢
[771.2] 而空间下反而是我们先跑
[772.88] 所以你这个空间到底给谁开的啊
[775.02] 这空间开的话
[776.16] 那么因为灭哥的回合只有三回合
[778.22] 而空间是五回合
[780.02] 就你除去单回合也有四回合嘛
[781.98] 这边挣扎一下
[782.54] 我伤害这么爆炸吗
[785.1] 伤害是有点高啊
[786.44] 这边念的哦
[787.5] 很聪明啊
[788.1] 念的是这边的位置
[788.94] 你看他念咆哮虎的位置
[790.34] 他知道你要抛抛出来啊
[793.84] 然后这两个就被拖死了
[797.47] 后排的话牛蛙直接唱歌就行了
[803.98] 看他后面是哪两只
[805.22] 先看后面哪两只啊
[806.3] 我们牛蛙保护一下
[807.38] 然后切
[808.1] 击掌唱歌是吧
[809.32] 要看他后面是哪两只
[816.72] 哦对面是荒地
[817.76] 荒地的话没啥威胁吧
[820.52] 哦他是你看他是马了喷火龙
[823.04] 但是挂了个花D啊
[824.22] 就是万一你有斗龙情况
[825.64] 他要上花D来打
[826.92] 那这里的话呃
[828.799] 空间还有两回合
[832.419] 他能杀我吗
[833.259] 杀不了
[835.02] 而且耿鬼的血量比较健康啊
[836.7] 我们直接这边唱歌
[838.14] 然后这里的话切咆哮就行了
[841.34] 我们先唱歌嘛
[843.62] 我们先唱歌的话
[846.08] 那么下回击掌拍应该怎么都能拖过去
[848.78] 这三回合
[862.28] 看他怎么说这个喷火龙马嘎的坏地就没输出啊
[865.92] 坏地坏地纯属来斗龙
[868.21] 斗龙虽然没选出
[869.13] 但是能把对面吓一跳啊
[870.49] 哎吓得对面都是花帝都选
[872.58] 那怀帝不马嘎
[873.62] 那不废人一个吗
[874.58] 好这里对面嘿对面还不马嘎
[877.02] 他说你有三个头
[877.86] 你刘蛙肯定下去啊
[879.779] 我牛蛙怎么下去呢
[882.379] 我月亮之力啊
[884.28] 打这个牛蛙
[885.569] 你看他这个力度就不太高啊
[887.629] 我说不高
[888.549] 原来击中要害了
[889.409] 我说的不高
[890.049] 怎么这么高啊
[890.729] 原来击中了要害
[891.709] 他不是马嘎花一地
[894.459] 然后这边气象球堵我这边上咆哮虎看到没有
[897.219] 他是毒这边的位置上啊
[900.63] 那这样就结束嘞
[902.2] 因为他觉得牛蛙肯定要下去抢天气
[904.52] 所以的话他这边那灭哥
[906.16] 还有上和我们还有三个人头
[907.52] 就保护不保护保护就结束了
[911.35] 那保护你倒是挺会毒的
[915.59] 毒牛蛙下去下回再马拉
[917.87] 然后双点咆哮虎的位置是吧
[919.75] 你如果牛蛙下去切天气
[921.07] 然后上咆哮虎的话
[922.17] 那就糟了
[922.87] 但是你忘记了是空间下呀
[924.569] 空间下我只要唱灭歌不就完了嘛
[926.609] 哼哎给你说个啥
[927.729] 我都先唱灭歌了
[928.689] 是你自己开的空间呢
[931.25] 那我们保护一下他就知道了啊
[933.23] 你不用在那里耍其他聪明
[935.17] 他还是不马嘎啊
[936.45] 他说我我不哎
[939.14] 他就是因为只有两个人头嘛
[940.66] 他要晴天啊
[941.42] 他是始终不满吧
[943.079] 其实刚才你点咆哮也点不死啊
[945.119] 因为我们是抗水果的
[946.239] 我说实话你点你雨天气球想点死咆哮虎啊啊
[949.599] 然后毒耿鬼怂
[950.819] 这已经没有什么意义了
[952.139] 然后我们再换人
[953.019] 在家保护就行了
[954.3] 第二回合不保护
[955.34] 第三回合保护三个人头就必赢了
[957.2] 那他自他知道啊
[958.38] 就不用点了啊
[959.32] 就不用再等两回合了
[961.9] 对面这个舰队还是比较麻烦
[963.72] 不一定能稳吃他呀
[965.63] 对面是一个雨天队
[967.29] 但他这个雨天队是马嘎快龙啊
[969.85] 马快龙的雨天是最不好打的
[971.99] 因为快龙的火力非常的爆炸啊
[974.37] 因为悬疑的话倒没啥
[976.33] 螳螂的话也威吓一下
[978.01] 啥也不是
[979.2] 那这里的话还是上老四样啊
[981.8] 耿鬼和鼠鼠呃
[983.64] 耿鬼和咆哮
[984.28] 我后排的话鼠鼠和茶呀
[986.14] 因为咆哮是抗抗水果的
[988.28] 所以在雨天下上是没有问题的
[990.14] 先把他右尾旋又给解决了
[991.78] 然后再去唱另外两个
[993.56] 最好是要把快龙技能给定一下
[995.58] 这快龙的力度还是猛啊
[999.92] 看对面怎么上
[1004.16] 快龙这个威吓不了
[1005.6] 然后嘞啊威吓他没用
[1007.68] 他特攻的
[1008.48] 然后他的暴风和这个龙之波动比较麻烦
[1012.53] 尤其是暴风啊
[1013.51] 我们这边没有抗飞行单位
[1016.49] 斗龙的话也打不过的
[1017.93] 对面双暴风这种雨天不能保证能稳吃
[1021.69] 他要看他怎么上
[1024.58] 如果能先削一个人头的话
[1026.22] 当然最好
[1036.38] 对面上幽尾玄鱼快龙
[1037.98] 那还行
[1038.96] 那先把幽尾玄鱼打死吧
[1044.72] 维贺一下
[1049.16] 然后这边直接按球打一位玄羽
[1051.44] 然后去拍快龙
[1053.56] 当然他可以反出雨天呐
[1054.86] 哎这都没关系
[1061.28] 一般来说这个业务学员都是围巾的啊
[1065.25] 啊快龙直接走
[1066.37] 那要冲我是吧呵啊
[1069.02] 这个就不用了啊
[1070.28] 你冲冲不死啊
[1071.2] 跟你说了
[1072.18] 那我们打死一尾玄鱼再说
[1075.98] 这种老是想切
[1077.18] 雨天觉得就冲死耿鬼
[1078.98] 耿鬼有这么脆皮吗
[1080.9] 来冲吧
[1084.15] 他说反正你要拍这个左边的位置
[1086.79] 那就拍
[1087.75] 你要冲咆哮
[1088.75] 我冲耿鬼都可以好
[1090.71] 他直接冲耿鬼也没关系啊
[1092.03] 反正冲不死
[1093.709] 你看肯定冲不死啊
[1095.409] 连红血都冲不到围巾的
[1099.02] 那就打死他
[1100] 拜拜
[1101.72] 这样先削他一个人头
[1107.84] 然后他再上快龙
[1109.34] 不过依然是不好打
[1110.48] 一开始拿一个人头还是比较赚的
[1112.87] 因为他这个快龙和大嘴鸥
[1114.63] 这两位的话压制力非常的强啊
[1116.81] 尤其是马儿快龙
[1124.86] 好快龙来了
[1126.14] 那最后一只的话就是桥龙
[1128.94] 或或者是这个大牛拉嘛
[1131.67] 大扭拉倒没啥关系啊
[1132.99] 因为大牛拉既打不动
[1134.15] 根本打不动茶
[1137.98] 那我们这里后排是鼠鼠
[1141.21] 这边抛一下
[1142.39] 主要是快龙的输出比较高啊
[1144.43] 啊抛一下这个快龙
[1146.61] 他就算双点咆哮虎的话
[1148.21] 有队友守护的话点不死啊
[1150.13] 耿鬼的话经常他毒耿鬼怂
[1152.29] 那我们耿鬼就先不怂哦
[1155.17] 来了快龙这个快龙力度确实爆炸
[1158.3] 气球加龙之波动或者加暴风啊
[1161.06] 不龙之波动啊
[1161.86] 双点咆哮虎这个只能硬接了呀
[1165.71] 暴风来了啊
[1167.55] 打多少
[1169.999] 好的
[1170.439] 有队友守护打不死啊
[1171.519] 加上抗水果
[1172.199] 你双电也不行
[1173.279] 他都读这个耿鬼会怂啊
[1175.279] 读耿鬼会怂
[1177.53] 然后气场就点
[1179.83] 没关系啊
[1180.55] 你看抗水果稳健啊
[1181.75] 抗水果
[1182.61] 然后降一下这快龙的输出
[1187.24] 抛一下
[1188.16] OK这样的快龙的力度就拉一点了
[1190.28] 不然的话快龙这个威胁确实太大了
[1192.16] 100亿威力
[1192.76] 本系暴风这个力度实在太高了
[1194.88] 然后我们再抛出这个耿鬼
[1196.6] 把影子踩住啊
[1197.44] 不让他跑了
[1199.32] 这样的快龙力度不太行
[1204.82] 这里如果我们再来一次
[1206.34] 定身法
[1206.74] 可以搞一个
[1207.38] 但是另外一个就会把耿鬼给杀掉啊
[1210.27] 所以只能靠我妈耿鬼血量
[1212.55] 如果健康的话倒是可以
[1214.01] 然后这里唱歌啊
[1215.23] 把这俩拖死
[1216.27] 拖死以后
[1216.95] 他就还有最后一只了
[1221.04] 没法去定耿鬼的血量
[1223] 43血
[1223.56] 什么都接不了啊
[1225.04] 你要集火输出就集火吧
[1227.1] 那也没有什么办法
[1232.28] 那唱歌他这边继暴风快龙力度拉一点
[1239.9] 暴风打多少
[1244.09] 我去还是疼啊
[1245.13] 那鼠鼠肯定是死定了啊
[1246.75] 你杀了鼠鼠吧
[1247.85] 我也不介意输入就阵亡了
[1259.02] 灭哥还有三回合
[1260.44] 然后我们就要通过保护去定他的暴风啊
[1264.53] 这里不能上咆哮
[1266.03] 因为血量已经不健康了
[1267.67] 你说保护再抛出来一下
[1269.79] 那这里我们会阵亡两个人呐
[1271.83] 这里我们先保护一下
[1273.15] 下回去定他的暴风款待
[1275.31] 先给给我回个血
[1277.84] 他打来杯速杀
[1278.8] 肯定要点暴风啊
[1281.48] 雨天还有两回合啊
[1283.84] 他最后只不管是桥龙还是大牛拉
[1285.48] 都打不赢我们啊
[1286.68] 最后一只的话狗屁不是保护一下
[1292.23] 然后下回去愤怒粉加上定他的一个
[1295.55] 这个这个暴风啊
[1297.19] 你就不能换人了呀
[1298.85] 然后最后一回合来杯醋茶保护耿鬼再下去
[1302.43] 这样比较好
[1306.18] 他这位置是谁的话都是单体啊
[1309.26] 这边暴风
[1313.38] 好依然是双暴风啊
[1314.7] 非常的凶猛
[1315.4] 打的就是耿鬼的位置
[1318.94] 那灭哥还有两回合
[1320.42] 你这回换下去
[1321.66] 那他就跑了是吧
[1322.8] 对面都跑了
[1323.8] 那当然是不行的
[1325] 我们这里愤怒粉
[1325.98] 然后定个暴风啊
[1327.679] 定身法定这个大嘴鸥的暴风
[1330.679] 那快龙因为简易
[1331.719] 他的暴风是打不死来被触查的
[1333.519] 不用担心
[1335.079] 耿鬼的话也不会死
[1337.56] 来杯醋茶
[1338.32] 毕竟满血嘛
[1339.2] 然后我们耿鬼再下去来杯醋茶保护
[1341.6] 这样的话呃就是把这俩拖死啊
[1344.9] 然后他最后一只最后一只的话打不过我们
[1347.24] 剩下两只啊
[1349.39] 好愤怒粉
[1351.719] 你如果大嘴点的气象球也不介意啊
[1354.439] 那也打不死我呀
[1356.439] 定身法好
[1357.199] 把大嘴鸥的这个暴风给定一下啊
[1362.78] 那快龙继续暴风没问题啊
[1364.5] 伤害怎么样
[1365.1] 减一暴风
[1367.34] 我去哇
[1369.08] 哦简易暴风伤害这么高
[1371.74] 还混乱了
[1373.69] 这边大嘴哦
[1374.69] 大嘴非常聪明啊
[1375.97] 他在灭哥的最后
[1377.09] 他点顺风好吧
[1379.94] 雨停了
[1381.38] 那这两个灭哥还有一回合
[1383.74] 他如果点暴风
[1384.66] 刚暴风就被定住了吗
[1385.62] 他点的是顺风
[1386.42] 为最后一个人做准备
[1387.6] 那我们这里要保护一下
[1388.86] 然后耿鬼下去
[1389.7] 没办法
[1391.06] 耿鬼这里走啊
[1392.52] 最后一只螃蟹我还有70一点血
[1395.72] 那这个咆哮我的话也会身亡啊
[1398.34] 因为他知道你耿鬼必走
[1400.28] 他把你这个耿鬼的位置打死
[1403.22] 要么这个来杯苏拉愤怒粉
[1406.43] 愤怒粉的话
[1407.35] 耿鬼能活命啊
[1409.63] 这个泡酒能活命啊
[1418.02] 还是保护一下吧
[1419.38] 还是保护一下
[1420.18] 当然混乱了
[1420.7] 我不一定能保护出来啊
[1421.92] 这边你要杀跑球就杀吧
[1424.61] 把咆哮虎送给他
[1425.99] 他最后一只的话可能是桥龙比较概率比较高啊
[1430.55] 桥龙的话我们就只能打死他暗影球
[1433.84] 然后愤怒粉
[1434.72] 愤怒粉这样
[1437.44] 来不出来混乱了
[1439] OK保护成功啊
[1440.24] 保护成功
[1440.88] 那这个咆哮虎这个位置的话肯定就死了
[1444.64] 这边龙之波动啊
[1445.6] 他一定打右边
[1446.36] 因为耿鬼灭哥最后肯定下去啊
[1448.3] 但是这里没打死
[1449.2] 这边呢将球好吧
[1451.81] 哈哈双点啊
[1453.13] 双点今天跑不了
[1455.31] 不过这两个终于被我们拖死了啊
[1457.73] 一开始打死一尾玄鱼
[1459.19] 然后拖死这两个
[1460.43] 这马快龙确实不好拖呀
[1466.34] 然后看最后一只
[1467.7] 最后一只也只有只有乔龙了呀
[1469.68] 他马拉的快龙当然就不可能马拉螳螂
[1471.84] 如果是大扭拉的话
[1473.38] 大扭拉两个暗影球就把他打死了
[1475.66] 那最后耿鬼桥龙的话
[1478.34] 两个暗影球不一定打得死他
[1480.1] 如果是那种特防很高的桥龙
[1481.62] 那还打不死嘞
[1486.28] 不过对面是桥龙
[1487.6] 桥龙的话
[1488.32] 我们就按球打死他
[1489.46] 因为唱歌的话不太好唱
[1491.56] 哎这里直接愤怒粉啊
[1494.67] 然后这边的话
[1498.19] 暗影球看球打多少嘛
[1501.59] 暗影球的话
[1502.99] 如果他脆皮
[1503.99] 两个暗球打得死啊
[1504.79] 一般都吃剩饭
[1505.65] 然后打不死
[1506.35] 我们还得定一下他的技能
[1509.53] 八十四血
[1510.51] 八十四血
[1511.21] 其实我也接不了啥技能
[1519.5] 等会宝宝看他定他什么技能啊
[1522.26] 这个桥龙的话就这样呗
[1524] 这个雨天队是不是很不好打
[1528.4] 愤怒粉按球当然是我们先按球
[1533.33] 打多少是多少
[1536.68] 来杯速杀
[1537.36] 混乱解除了很好
[1538.32] 愤怒粉一下
[1540.24] 如果是大扭拉的话
[1541.08] 这就赢了啊
[1541.68] 因为两个暗球大牛拉就死了
[1543.12] 大扭拉啥也不是
[1544.72] 连群诶
[1545.96] 流星群好
[1546.66] 流星群的话
[1547.28] 那他就没了
[1548.26] 他砸的是流星群
[1549.52] 那他应该是砸的耿鬼的位置是吧啊
[1552.73] 他觉得来被速杀可能会保护一下或者混乱
[1555.05] 那砸的话你就没有了
[1556.75] 两个暗球打不死
[1557.85] 三个暗球你也会死
[1559.77] 那一个暗球打多少哇
[1562.889] 这么脆那就不说啥了
[1564.409] 这么脆的话
[1564.969] 你砸什么技能已经没有区别了
[1566.829] 而且他也不是剩饭的呀
[1568.189] 好这边点了啊
[1569.389] 原来他不是剩饭的
[1571.069] 那你这个其实你砸什么都不重要了啊
[1573.929] 就说如果他是剩饭的
[1575.029] 我们打不过半的话
[1575.909] 他打连群的话
[1576.629] 第二发技能是打不死我们的对面前队
[1579.74] 但这个前队没有钢兵呐
[1581.34] 哎这是好事
[1582.26] 剩下的那威吓一下
[1583.38] 啥也不是啊
[1584.02] 五个不攻啊
[1584.86] 四个步攻手
[1585.56] 那不随便威吓呀
[1586.74] 那就咆哮五首发
[1589.1] 然后后排的话
[1590.04] 这个鼠鼠和还是留挖吧
[1594.49] 还是留挖吧
[1595.53] 我都想上查了啊
[1599.12] 牛蛙没错
[1601.36] 雨天还是要要啊
[1604.34] 如果对面有钢兵的话
[1605.78] 我们还是耿鬼和鼠鼠啊
[1607.26] 就看下情况去定他的技能
[1609.53] 他这里啥也没有的话
[1610.93] 你咆哮直接威吓一下他
[1612.09] 啥也不是
[1612.81] 你上地龙喷火龙还是啥都没关系啊
[1615.29] 因为玄玉什么都行
[1617.61] 他这个队也很标准
[1618.81] 那鬼剑的话
[1619.61] 等会打死鬼烟就好了
[1620.83] 鬼剑威吓一下
[1621.65] 啥也不是
[1623.659] 林骚影子偷袭
[1625.899] 反正都威吓他一下
