[0.12] 魔幻假面喵魔术师宝可梦非常的萌萌哒
[126.54] 人家说的可就可能比较打击你了
[129.86] 说实话啊
[130.76] 你要让他来说的话
[131.96] 我说的一般都还是比较的这个委婉了啊
[135.66] 真的比较的委婉了
[138.6] 感谢两袖清风师傅有送的十个粉丝牌
[142.31] 非常感谢你
[143.48] 对不对啊
[144.78] 我说的都一般都是有他的沙发的优点
[147.12] 我也跟你说一下
[147.9] 但是实在不行了
[149.18] 那就真的不行了
[150.23] 感觉他的粉丝也不行了
[151.94] 经常就有人他说我是这个
[154.34] 比如说啊我是泥巴鱼的粉丝
[156.44] 你能不能输出泥巴鱼
[157.64] 这对战力有什么用
[160.4] 哎你问这个问题的时候
[162.52] 你自己也清楚这个精灵行不行
[165.2] 你也知道我会回答你什么样的答案
[169.48] 你知道答案
[170.68] 你也知道我的回答什么答案
[172.06] 那你还问这个问题干什么呢
[175.3] 是不是就没有必要问了呀
[178.44] 你你你能不能理解这个道理
[180.44] 我相信你应该转的过来
[182.24] 是不是这个道理啊
[183.56] 非要问一些这个根本就是见都没见到过的
[185.78] 怎么这个行不行行不行
[187.64] 你不清楚吗
[188.36] 你是他的粉丝也不行啊
[189.56] 你是他的粉丝
[190.22] 那我也说他不行啊
[191.42] 我就跟你直说呀
[192.74] 对不对
[193.85] 人家我肚子送粉丝1TV卡
[195.89] 非常感谢你
[197.1] 那我说这个假面喵啊
[198.42] 假面喵是人家是真的行啊
[200.2] 呃这个在系列一的规则里面呢
[203.65] 它的使用率啊
[205.57] 大家看好像每遇到一个队伍都可能有假苗
[208.98] 可能前五啊
[210.3] 是不是第一
[211.02] 我不我不能说他是第一是吧
[213.06] 我不知道到时候2月下旬开了以后
[216.22] 你看一看他是不是第一啊啊但是我说前五
[219.31] 大家觉得我说的高不高
[222.46] 应该不高啊
[223.66] 就前五啊
[224.38] 前五这个我说的应该是比较保守啊
[226.72] 前五他绝对是属于第一热门梯队的人
[229.71] 但是为什么他前五这么厉害
[231.36] 不是他特性的位置就削弱了吗
[233.26] 那这就是我们要说的啊
[234.76] 那系列一规则还是一样啊
[236.14] 禁止这个背面宝可梦是吧啊
[238.54] 禁止
[241.02] 然后看看它的种族值啊
[242.93] 啊530御三家都是这个水平
[245.36] 土台龟也是差不多这个水平了
[247.26] 但是天壤之别啊
[249.24] 天壤之别
[250.26] 他是草家恶属性的
[252.12] 这个外形非常的萌萌哒啊
[254.1] 极度萌萌哒
[255.36] 他有个专属技能叫做千变万花
[258.78] 土台龟
[259.26] 人家也有啊
[259.92] 土台龟
[260.28] 你说他土台龟它有啥
[261.48] 土台龟有一个叫做突飞猛扑
[263.82] 好像是会吧啊
[265.38] 120威力地面你说已经给你面子了
[267.78] 土台龟
[268.35] 但是给你面子也不行啊
[270.48] 那还不行就是不行
[271.86] 那这个奇变化就像武道雄狮一样啊
[274.68] 啊70为力必定技术要害
[276.6] 这是它一个含金量非常高的技术啊
[279.42] 另外他会开戏法空间
[281.06] 拍落突袭
[282.44] 极则反
[283.28] 基本上就带这几个技能
[284.42] 是不是不太会带其他的嗯
[287.24] 他尤其是会开戏法空间的这个精灵
[289.61] 我看着他凭什么会开戏法空间
[291.65] 一个吵架哥
[292.49] 他会开戏了
[293.09] 红娘他倒是最早我们说的时候分级
[296.61] 这个图片是我到时候它有可能会击掌奇袭啊
[299.01] 结果这猫猫手这么大
[300.51] 它不会击掌奇袭就会开戏法空间啊
[303.37] 这戏法空间和击掌奇袭都很重要对吧
[305.83] 但是其实如果会击掌奇袭更好啊
[309.03] 因为这个戏法空间这假面喵
[311.1] 它不怎么会带戏法空间呢
[312.6] 它速度我们看到是非常快的
[314.16] 123种族是吧啊
[315.88] 这个这么快
[317.05] 要是会击掌奇
[318.1] 不会戏法空间可能对他来说更好一点
[321.2] 当然也会戏法空间也是好事嘛
[323.42] 好好事
[323.96] 有时候对面真的是出其不意
[326.12] 你开他的空间
[326.96] 他还很难守啊
[328.42] 剩下的技能他会的很多
[329.92] 包括洗脑也会啊
[331.12] 你看他这个就是从技能方面来看
[334.12] 没有什么可挑剔的
[335.74] 只有钛金爆发
[336.91] 世界上谁都可以带钛金爆发
[338.65] 那么他不会再钛金爆发
[340.12] 这跟它的特性有关啊
[343.199] 啊他是魔术师啊
[344.599] 对他魔术师宝可梦
[345.679] 但是他这个猫猫有手啊
[347.389] 手这个还是很萌萌哒的
[348.979] 怎么不会开击掌奇袭呢
[350.539] 这个就是有点莫名其妙啊
[352.44] 有手的这种我就没见过
[354.3] 不会击掌奇袭的
[355.14] 我随便给你说个喵喵猫老大
[357.599] 还有咆哮虎
[358.589] 这猫猫猫猫类的他都会啊
[360.269] 都会他就是他不会啊
[362.12] 还有这个超能标是不是也会啊
[364.22] 超能喵喵
[366.44] 他这个特性有两个
[368.14] 这两个特性都有人用
[370.18] 所以那么假面喵的玩法也四分两种讨论啊
[375.19] 一个是茂盛
[375.85] 一个是变换自如
[376.9] 茂盛就是御三家的这个老特性了
[379.33] SB低于13
[380.5] 草属性威力1.5倍
[382.9] 别人用茂盛可能不咋地
[384.54] 但是他又茂盛
[385.38] 那是非常牛逼
[386.46] 因为他这里有个草系的专属吧
[389.07] 是不是哦哟这个就不得了啊
[391.29] 奇毒的不得了
[392.96] 感谢非常保守的文鸯
[394.34] 我送的20一个丘比特日记
[396.92] 另外一个就是变幻自在
[399.37] 第九代被砍了以后
[400.99] 就是打什么技能
[402.16] 切什么属性
[403.14] 这是变化自如本身的描述
[405.06] 但是他在场上只能够一次啊
[407.58] 嗯如果你要再变的话
[409.62] 那你就得切换下去了
[411.14] 比如说你点个保护
[412.58] 你保护一下
[413.54] 那切一般属性
[414.8] 然后你就是一般属性
[415.82] 你改不了了
[416.75] 你只能换下去
[417.74] 你再换上来他才能起啊
[419.56] 所以这个你既然的描述都改了
[421.54] 他的名字应该也改掉了
[423.2] 叫吧叫做什么叫这个变化不自如啊
[429.08] 是不是你都不自如了
[430.62] 你还叫这个名字干什么了
[432.15] 所以他的名字没有随着他的描述一起改动啊
[435.3] 没有起到一个与时俱进的作用对吧
[438.28] 但是不是说那这个特性怎么玩呢
[439.9] 这不是这么垃圾啊
[441.22] 就变一次就不行了
[442.51] 那你配合奖励投胎玩奖金头带
[444.84] 不就你在场只能锁一个技能打吗
[446.64] 那正好我本来就是只切一种属性
[448.62] 只能切一次啊
[449.52] 那就配感觉百大
[450.96] 所以我们经常不管是解说比赛还是玩的
[453.66] 我一看到对面切变化自如
[456.02] 我就说对面大概率应该是讲究头带的
[458.62] 对不对
[458.98] 我不说百百%分之99应该是吧
[461.96] 对不对
[463.16] 不然你玩什么变化自如啊
[464.72] 所以你通过这个你可以判断对面的道具的呀
[467.93] 啊他切不切属性切的话
[470.0] 那就应该是奖励口袋的啊
[472.13] 奖励起来都这么玩
[473.54] 所以他的两种玩法也是这样
[475.38] 首先是变化自如型
[476.76] 刚才说一定带奖金口袋啊
[478.68] 不说百百%分之99吧
[480.54] 好吧
[481.409] 感谢等身大毛绒布拨送的很多新年快乐
[485.369] 非常感谢你这个布拨鸭子出这么大的
[487.649] 我也买一个我想买的毛绒玩
[489.729] 我除了耿鬼的这个手感
[491.469] 那个是真的好
[492.45] 还有一个一个是布拨的一个三朵三朵
[494.67] 他不出啊
[495.45] 不出这个玩偶
[496.11] 但是布拨的可能会出布拨拥抱宝可梦啊
[498.88] 这就是很萌萌哒的啊
[500.44] 这种宝可梦啊
[501.34] 他出了个大的玩偶
[502.48] 它的手感都是非常好啊
[504.22] 很好
[504.71] 我都放在这个床头啊
[505.97] 放在床头
[506.63] 但是很好的一个网友
[508.369] 我就跟你说啊
[509.089] 你也可以去买一个
[509.809] 但是现在没有出的
[510.769] 你不说啥
[511.84] 前面的出来也可以啊
[513.49] 输出这个玩偶
[514.42] 那也不比伤害多差呀
[515.5] 是不是这个也是很萌萌哒的
[517.12] 都出一下
[517.72] 出一下他这个大的玩偶啊
[519.559] 你的越大的它就越贵
[520.939] 比如说小的可能有几十块的
[522.889] 小的
[523.399] 其他都100多了
[524.56] 那个大的啊
[525.46] 一般像耿鬼那个都是四五百五六百这样的
[528.52] 哎多少我忘记了啊
[529.84] 因为他是先先预定嘛
[532.33] 先预定这样的大概就是几百块啊
[534.49] 越大它肯定就越贵一些啊
[536.05] 如果你要是更大等身的话
[537.55] 那么就就更贵一些
[539.4] 上千块啊
[540.3] 上千块
[541.26] 那么这个变化字符型
[543.12] 因为它只能变一次啊
[544.14] 我们说道具在讲头的
[545.48] 那么假面喵他的总督是这样
[547.22] 大家知道这个性格要么爽朗
[548.84] 要么固执
[549.38] 那你都没得选
[550.36] 90%
[551.44] 应该是玩爽朗的啊
[553.06] 固执那就是贪了他的速度
[554.92] 123的种族值
[556.96] 一般努力是最简单
[558.66] 假面猫的努力值来说是非常简单
[560.52] 二八大盘就行了
[561.42] 它的种子就决定了双方就70
[563.1] 这是双方你都可以不说忽略不计也是非常低啊
[567.3] 所以二玩物攻
[568.08] 二玩速度
[569.1] 由于环境里面没有下载的
[571.08] 所以你不是说我是不是要点四点特防
[572.94] 你不是说双方相等
[574.08] 最好点四点特防吗
[575.31] 对没错
[576.28] 但是这个游戏里面没有下载的
[577.96] 你4.4V4点物防
[579.1] 四点特防都可以
[579.94] 随便你高兴吧
[580.84] 有人点四点特防可不可以
[582.16] 可以防止对面下载吗
[583.66] 如果你点四特防的特防91
[585.22] 对面是不是下来物攻啊啊如果有多边兽啊
[587.88] 但是由于游戏里面没有多边兽
[589.44] 所以这四点努力值
[590.4] 你点SP也行
[591.36] 防御特防都行
[592.44] 总的来说就是二玩物攻二倍速度
[594.8] 这么一个假面喵也没有什么其他分的
[597.2] 你加点耐久也没什么屁用
[599.4] 等会我们说伤害就说啊
[601.74] 那为什么他加点其他也没什么意义呢
[604.14] 真的就没有意义啊
[605.7] 没有意义
[608.4] 然后钛金属性啊
[609.54] 这个钛金属性你看我说其他什么叫其他
[614.13] 基本上我就没见过他期待一其他的啊
[616.77] 就是钛晶草是不是太进草
[618.899] 他肯定要他进草啊
[621.839] 是不是啊
[622.61] 呃因为他这个玩千变化非常的凶猛
[625.94] 必定击中要害啊
[628.61] 这个和武道熊是一样的
[629.93] 这就是他的要玩钛晶草诶
[633.88] 那么技能首先专属这个一定带啊
[636.1] 千变万花
[636.88] 这个非常厉害
[637.78] 然后呢你奖励头带嘛
[639.34] 带四个攻击技能
[640.36] 刚才我们看到技能里面有很多九折返
[642.89] 可以形势不好就反走拍落可不可以可以
[646.01] 然后还有突袭啊
[646.85] 蜥蜴王
[647.27] 踢倒劈瓦等等都可以
[649.97] 就是技术上
[650.81] 你已经找不到他有什么不满的地方了
[654.76] 这打击面也是极其良好啊
[658.12] 就是这么些技术非常完美
[661.02] 这么一个啊
[662.25] 这是玩变化自如的啊
[663.9] 你打什么切什么属性吗
[665.28] 你比如说你要急着反就切重属性
[667.26] 你要切变化就切草属性啊
[669.72] 你要打洗脑就切妖精属性都可以
[672.36] 切技能上没有什么好讲究的
[675.429] 尤其是前面三个基本上是都带啊
[677.619] 最后一个根据你的需要去选择啊
[680.829] 选择他个人定位
[683.48] 从种族值也看出来
[684.68] 他定位第一个就是速度快啊
[686.48] 高速的一个物理输出
[688.22] 手耐久上你可以忽略不计啊
[691.77] 另外反强化
[693.06] 尤其是像48这样的
[694.58] 哎他全能力不是加二吗
[696.47] 那么这个假面喵喵说我必定击中要害
[699.62] 千变化还克制你这个啥克制
[701.96] 你这个色板是不是能够反一些强化的精灵
[705.29] 他强化了
[706.1] 比如说他啊我蓄个力或者是什么样的强化手段
[709.0] 我铁臂铁臂
[710.05] 那么在假面喵面前
[711.58] 只要你不看草
[713.1] 那都是无差别打击啊
[715.6] 击中要害
[716.08] 无视你能力变化
[718.3] 所以这些玩强化的他都干什么
[720.22] 他都要跟钛晶草的
[721.42] 是不是射手吧
[722.88] 钛晶草
[723.63] 太金飞
[724.41] 太金刚
[725.22] 钛晶虫
[725.7] 我不管你太金什么
[726.66] 他都是太监什么钛晶草
[728.67] 因为他怕这个秦变化就这个
[733.0] 所以这个环境里面有些人太近了
[735.73] 由于假面喵而被迫去改变
[738.37] 假面喵对环境有没有影响
[740.47] 在系列一规则里面有着极大的影响
[742.56] 都说他使用率刚才都说前五
[744.0] 你说有没有影响
[744.99] 这样的人就对环境有着极其重要的影响啊
[749.42] 那这努力值252就不说了
[751.46] 搭配队伍
[752.36] 他这个人就是个物攻打手嘛
[754.16] 高速物攻打手单兵作战能力很强
[756.8] 所以他不存在的是什么
[758.12] 加入雨天体系好呢
[759.32] 还是加入晴天体系好
[760.46] 还是加入家暴体系好
[761.93] 什么体系都可以加入啊
[764.1] 我高速打手啊
[766.44] 这种就和盾弓一样
[767.76] 属于万能型的
[768.81] 不存在说他一定要是依靠某个体系
[773.82] 他自己就是单兵作战能力的
[775.56] 不需要依靠体系
[776.58] 但是你那些体系有的人需要他需要他对吧
[783.08] 而且他一般是不太精化的啊
[786.23] 对不对
[787.25] 我不需要太精华
[790.2] 如果有必要的话
[791.54] 尤其是你这不是茂盛的啊
[793.84] 他变化自如的嘛
[794.74] 一般不占太近位置
[796.39] 所以如果你队伍里面有其他人
[798.4] 非常需要这个钛金
[799.62] 那我也不站太近位置
[801.06] 你说好不好
[801.84] 我又能打
[803.58] 而且火力又高
[804.95] 而且我还不耽误队伍的钛金位置
[807.86] 这样的队友给我来十个啊
[812.59] 就就是非常好
[814.54] 对不对啊
[815.8] 干什么都行
[816.76] 还不耽误队伍
[817.96] 哪有这么好的队伍
[818.74] 你上哪去找啊啊
[822.58] 它的优势唉也就是其实就是它的定位啊
[825.94] 首先速度在目前的环境中属于最快一档
[828.76] 就区区123速度种族
[830.5] 这也叫最快的一档
[831.89] 那你请给我找出比他热门的
[833.99] 还比他快的
[834.65] 有没有啊
[835.85] 顽皮雷弹速度150种族快不快
[838.98] 顽皮雷弹我打了这么多把
[840.96] 我都没见到过一个顽皮雷弹
[843.72] 雷伊布速度130
[845.12] 快不快
[845.99] 没有什么雷伊布啊
[848.52] 比他快的
[849.42] 要说一个家门鸟
[850.8] 这个确实啊家门鸟速度125种族
[853.62] 他是开顺风的
[854.52] 他确实比假面喵快
[855.72] 而且使用率也不低
[858.52] 你像马纽拉呀
[859.48] 还有这个刚说雷伊布就不说了
[861.22] 这根本就是很少见到的
[862.72] 还有多拉马托
[863.68] 这些都是没有这么热门对吧
[869.02] 我说他是最快的一档是没有问题的啊
[871.72] 最快的一档比他快的就加木鸟125
[874.059] 大连海燕125对吧啊
[875.739] 这几个个别的可能比他快
[877.48] 剩下的我就在最最快这一档里面
[880.33] 就是如果在第八代的话
[882.34] 你要分速度档
[883.6] D档
[884.2] 雷吉艾勒奇中间空几档
[885.76] 然后在其他人在排排什么150的雷冠王啥的
[888.46] 你再排
[888.94] 因为他这个200和150之间
[890.38] 差了10万8000里对吧
[892.3] 这雷吉艾勒奇呢直接直接给你跨了很多档
[894.94] 那他不一样啊
[895.99] 那这个环境没有没有雷击七
[897.64] 所以假面喵它的优势在于速攻打手
[900.46] 速攻打手
[900.94] 那我如果速度不快
[901.78] 我叫什么速攻打手啊
[904.54] 但是这个优势呢一旦环境里面有比他更快的
[909.6] 又热门的那假面猫行不行啊
[912.22] 前面的生存环境就非常的差了哟
[915.58] 感谢静静爱喝粥
[916.78] 送你132个超火
[917.86] 非常感谢你对吧
[919.3] 比如说铁包服
[923.54] 还有这个振翼发
[926.78] 还有这个古剑爆
[928.66] 他们速度是135种族
[930.94] 136种族比你就快了很多了
[933.85] 这个时候也就是说这些宝可梦回来以后
[937.009] 那么假面喵就是相当难受了
[939.24] 是不是难受了
[940.32] 这个时候我就难受
[941.7] 123
[942.72] 我只能在目前的这个环境中
[946.86] 这个山中无老虎
[949.2] 我能够算是快的一档
[951.42] 但是这些精灵来了
[952.92] 那么假面喵形势就不太好了
[954.86] 我的优势就没有了
[956.42] 是不是我的优势就没有了
[958.14] 但是第二个优势
[959.66] 这个是和武道熊猫是一样的
[960.92] 这个优势是必须的
[962.18] 千变万花必定击中要害
[963.83] 反这些强化的精灵是有一定的用处的
[968.18] 感谢凯灯泡大剑红莲凯奇送的魔法书
[970.52] 非常感谢你
[972.8] 所以我先介绍他
[974.56] 如果再过几个月介绍他
[975.88] 他的使用率就没有这么高了啊
[978.23] 真的没这么高
[979.25] 因为这个速度其实你看一下130都没到
[982.38] 原来你说这个高速线应该我们说130左右啊
[985.29] 130附近130有谁呢
[986.97] 比如说这个化石翼龙啊
[988.84] 啊还有这个百大耿鬼啊
[991.12] 你要是放第七代啊
[992.14] 那就还有卡普屋
[992.92] 是不是他们都是130
[993.94] 还有叉字符啊
[994.96] 这些的话也是常见嘛啊现在这都没有这些说法
[998.96] 所以他123都算是比较快的
[1001.08] 这个第一个优势很可能在以后会消失啊
[1004.75] 第二个优势当然前变化击中要害
[1006.52] 那是该集中就集中啊
[1008.2] 百分之百的
[1009.68] 然后另外一个就是输出可观
[1012.64] 打击面好
[1013.36] 我们刚刚说他的技能打击面
[1014.8] 你都找不到什么毛病啊
[1016.98] 让我各种精灵都会想怎么打怎么打
[1019.38] 输出呢
[1020.4] 也非常可观的
[1021.42] 攻击力
[1021.84] 110的种族还没抛弃我高
[1023.7] 那我有个击中要害你
[1025.08] 你就怎么说了
[1025.74] 而我必定击中要害你
[1027.58] 威吓一下也没有用啊
[1028.54] 我必定击中要害
[1029.44] 那这个很好玩
[1030.52] 而且还能拍落对面道具
[1033.34] 所以他总体定位就是一个高速物攻输出
[1036.9] 手就这么一个啊
[1039.56] 火力很可观
[1040.67] 就是讲究头带类型的
[1042.32] 如果你见形势不妙
[1043.4] 你就急着反走
[1044.36] 就行
[1044.81] 我换队伍啊
[1046.459] 如果你还能蹭点对面的血吗
[1048.529] 如果能打的话
[1049.399] 这个我输出可不是开玩笑的啊
[1051.56] 啊天变化气势为例
[1053.3] 乘以本系1.5倍
[1055.46] 乘以奖励头带1.5倍啊
[1058.74] 力度相当可观
[1059.73] 这个威力可以达到200多啊
[1061.92] 秒人的话是没有问题
[1062.94] 而且还可以无视哎这种威吓的情况下
[1065.58] 这是一个挺好的
[1066.9] 但是其实更多用的是什么呢
[1068.49] 更多用的是茂盛啊
[1070.26] 更多用的还是这个
[1072.22] 这个他他他必讲究头带厉害在哪里呢
[1074.8] 厉害的就是在在茂盛茂盛行将利用它这个特性
[1078.61] 茂盛啊
[1080.14] 道具的话就要带气势皮带
[1081.58] 这样的话更方便触发这个茂盛茂盛
[1084.52] 血量低于1/3就会触发特性
[1086.8] 茂盛草系威力有1.5倍
[1090.1] 那我打出技术比赛
[1091.3] 那不就血量就是最低的吗
[1093.18] 是不是
[1094.38] 所以这个带70倍
[1096.12] 最好带四星宝珠
[1097.17] 那我怎么知道
[1098.04] 万一别人一下把我打死了
[1099.3] 我就不好去卡这个血量
[1100.86] 卡到1/3了
[1101.88] 但是生命宝珠可以提高30%的伤害
[1104.46] 所以这两个道具都有人带
[1106.02] 但是一般带70B带的比较多啊
[1108.28] 所以假面喵总体道具就是70皮
[1111.37] 神命宝珠讲究头带
[1113.14] 主要是这三种道具
[1114.98] 两种类型
[1116.0] 三种道具好理解吧
[1119.41] 性格还是一样的啊
[1120.52] 大部分选爽朗
[1121.36] 贪一点人选裤子太极属性啊
[1124.36] 这个我玩茂盛的
[1125.38] 我一定耐心草
[1126.7] 你就不要去他那个什么其他玩意的啊
[1129.76] 刚刚你说你玩变化自如的
[1131.38] 我有其他精灵打我
[1132.7] 太金个妖精
[1133.36] 我还能打个吸脑嘞
[1134.32] 本人气洗脑
[1134.99] 而且你说这这还嬉闹一下
[1136.99] 这个就别玩什么太极拳啊
[1138.52] 钛晶草我玩的就是茂盛
[1140.3] 这威力非常夸张了
[1141.77] 70威力的必定七对害乘以1.5倍乘以茂盛
[1146.14] 1.5倍乘以钛晶草
[1147.46] 如果钛晶草的话
[1148.06] 就不是乘1.5×2了是吧
[1149.8] 这威力直接很多人只要不抵抗草
[1153.139] 直接就是秒杀哇
[1154.879] 这个力度非常的霸道啊
[1156.439] 啊所以这个假面喵他这个人是ESB
[1160.34] 他也会太金
[1161.24] 像其他人ESB我就不交太金了吧
[1163.4] 你都要死了
[1164.18] 那还交什么太近了
[1165.2] 但是对假面来说
[1166.5] 我ESP我觉得刚刚好太紧啊
[1169.44] 别人对别人来说也许不合适
[1171.42] 对我来说刚刚好一血钛晶草啊
[1174.78] 那这个威力轻变化威力70乘以本系两倍嘛
[1178.57] 乘以必定系数量还1.5倍乘以茂盛1.5倍
[1180.64] 威力是300多
[1181.48] 你说一般人顶不跌出300多威力
[1183.4] 那头顶呢是300多位里
[1185.2] 所以这个是非常重要的啊
[1188.12] 他这是他和奖励口袋的根本区别
[1189.86] 我的目的就是你我脆皮嘛
[1191.99] 你打我打出这个气势
[1193.92] 必在以后看我轻变化
[1195.12] 打不打死人
[1195.93] 而且这个技能轻变化是远程的啊
[1197.88] 这样弹个响指对面就死了
[1200.77] 利路杀这样的地龙
[1202.18] 他出糙皮肤吧
[1203.08] 还有些带头盔的诶
[1204.28] 不影响我不影响我
[1205.52] 我远程的不接触啊
[1207.08] 是不是啊
[1207.71] 这个技能作为一个物攻技能
[1209.18] 他还不接触
[1210.72] 所以这个汽车皮带会不会掉呢
[1212.55] 不会掉
[1213.18] 除非你打个拍路
[1214.2] 哎呀不小心拍到人家的这个头盔了
[1216.42] 那不是这要扣点血啊
[1218.59] 这个你只要不去乱拍就行
[1220.78] 对不对啊
[1222.06] 那是在技能首先天变化拍落这两个是本系的嘛
[1224.7] 草和恶两个本系都要带
[1226.17] 然后呢带个保护保护带不带还是要带啊
[1229.63] 最后一个技能那就多了啊
[1231.54] 刚才那个奖励头胎带的
[1232.8] 你也可以带呀
[1233.55] 突袭可不可以
[1234.48] 几乎这玩意可不可以吸闹皮娃挑衅
[1237.22] 还有戏法空间了啊
[1238.84] 虽然说他会戏法空间可不可以带
[1240.46] 这就可以带啊
[1241.24] 经常带的还是突袭和及物则反吧
[1243.22] 是不是这两个要么形势不好
[1245.32] 我反走
[1246.06] 要么突袭一下啊
[1248.16] 突袭先制性的气势威力也是本系列
[1250.2] 拍落威力是65
[1251.4] 但是他要乘以一个拍掉道具
[1253.32] 有1.1.5倍伤害
[1254.4] 如果对面有道具的情况下对吧
[1259.18] 他一样的啊
[1260.16] 也是定位
[1260.88] 那不是和这个这个这个假镜头带的是一样的吗
[1264.44] 我也是个高速物攻输出手
[1266.3] 定位当然是一模一样的
[1267.84] 但是由于道具不同导致他们这个差别啊
[1271.32] 在这个地方就是触发茂盛的时候非常的危险
[1274.78] 一定要杀掉这个草主啊
[1276.55] 你要是触发太茂盛
[1277.6] 又不杀了他的话
[1278.59] 他这个速度就这么快
[1279.96] 那你可人家可是要清场了呀
[1282.96] 一下一个啊
[1285.0] 搭配队伍什么都可以搭配啊
[1286.92] 但是他要占一条气势皮带
[1288.42] 70皮带这个道具它是一个很宝贵的位置
[1291.36] 因为你很多人说我也想带70皮带
[1293.16] 他也想带70皮带
[1294.06] 只有一条70皮带
[1295.08] 哪有那么多人带啊
[1296.63] 所以你要选好
[1297.65] 如果汽车皮带给他
[1298.85] 意味着其他人就不会是70佩戴了
[1301.409] 比如说你说我是沙暴队的中原狼人
[1303.809] 大家知道这个中野狼人他经常会带70佩戴呀
[1306.539] 那你你把70片拿了
[1307.949] 那我怎么办呢
[1308.76] 那你就带奖励头带呗
[1310.17] 或者带神秘宝珠呗
[1311.34] 没办法了啊
[1312.72] 如果你和你其他队伍有冲突啊
[1314.34] 技术必带
[1314.92] 那你就要注意一下给谁
[1317.56] 要么你就玩第一种类型叫做解决口袋类型啊
[1321.58] 感谢晋级
[1322.06] 爱喝粥送的87个魔法指环
[1324.25] 非常感谢你
[1326.44] 这是这么一个努力值
[1328.72] 都是二锅大法哎
[1329.92] 这个就没有什么太多的可分啊
[1332.3] 很简单
[1333.02] 那么接下来说一下的这个伤害
[1335.36] 他这个伤害就有的说他的伤害说哪点呢
[1338.66] 就说他切变化的伤害对吧
[1340.94] 我们主要大部分时候打得了这个千变化
[1343.78] 所以我们要看清变化
[1345.28] 我能不能杀人啊
[1346.9] 啊我能打到对面多少血啊
[1349.42] 这就是呃它主要要了解的啊
[1354.57] 你平时打的话
[1355.86] 这个威力就是70乘以本系一点
[1358.26] 五倍乘以击中要害一点
[1359.88] 五倍等于157威力
[1361.5] 这个威力高不高高啊
[1363.36] 武道雄狮的话是80威力嘛
[1364.98] 那存下来是一百八一百八的威力是吧
[1367.29] 对不对
[1367.86] 那么我这个威力你看威力少了十点
[1370.14] 最后算下来就差很多
[1371.52] 和武道雄狮相比
[1372.66] 当然没有他高
[1374.4] 没有第八代的武道雄狮的攻击力高啊
[1377.78] 感谢hr89沙发塞北送的290个超火
[1380.51] 非常感谢你
[1383.46] 但这个威力157
[1384.98] 那显然武道雄狮都锤不死的人
[1387.02] 如果你第八代经常玩的话
[1388.46] 你就知道其实武道雄师70必带
[1390.74] 武道熊师暗冥强行一拳上去
[1392.6] 对面还不能怂
[1393.32] 能不能捶死人
[1394.42] 其实大部分时候还是锤不死人
[1396.43] 180威力不就和朋友散冲锋差不多吗
[1398.92] 而且你都是爽朗性格的
[1400.6] 其实还是很难捶死人的
[1402.1] 所以这个157威力也是打不死人的
[1404.56] 通常啊哎你除非克制嘛
[1406.78] 你克制的话威力就是300多少
[1408.37] 315对吧
[1409.54] 你不克制就157
[1410.8] 那我们就还是打地龙啊
